subject,-1_glckliches_glckliches leben_schuljahrgnge_fragen,0_moral_glck moral_analysieren_reflektieren,1_lust_glcks_hedonismus_eher,2_glcksvorstellungen_unglck_glck glcklich_untersuchen,3_sinn_identitt_kompetenzerwerb_kriterien,4_gute leben_gute_leben glck_glck gute,5_wege glck_wege_wnsche_bedrfnisse,6_konsum_wohlstand_glck konsum_armut,7_selbstverwirklichung_zunchst_anbietet_nahezu,8_konsum_dinge_dingen_glck konsum,9_glck glcklich_gefhl_differenzierung_zufall,entropy,subject_total,subject_proportion
"Ethik, Philo",0.1448,0.2348,0.1677,0.1418,0.0945,0.0595,0.0351,0.0335,0.0335,0.0305,0.0244,3.072,656,0.9924
Geschichte,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.003
Sozialkunde,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,1.585,3,0.0045
TOTAL,0.1452,0.2345,0.1679,0.1422,0.0953,0.059,0.0348,0.0333,0.0333,0.0303,0.0242,3.0695,661,1.0
