topic_name,"Ethik, Philo",Geschichte,Sozialkunde,entropy,topic_total,topic_proportion
-1_glckliches_glckliches leben_schuljahrgnge_fragen,0.9896,0.0104,0.0,0.0835,96,0.1452
0_moral_glck moral_analysieren_reflektieren,0.9935,0.0065,0.0,0.0562,155,0.2345
1_lust_glcks_hedonismus_eher,0.991,0.0,0.009,0.0741,111,0.1679
2_glcksvorstellungen_unglck_glck glcklich_untersuchen,0.9894,0.0,0.0106,0.085,94,0.1422
3_sinn_identitt_kompetenzerwerb_kriterien,0.9841,0.0,0.0159,0.1176,63,0.0953
4_gute leben_gute_leben glck_glck gute,1.0,0.0,0.0,0.0,39,0.059
5_wege glck_wege_wnsche_bedrfnisse,1.0,0.0,0.0,0.0,23,0.0348
6_konsum_wohlstand_glck konsum_armut,1.0,0.0,0.0,0.0,22,0.0333
7_selbstverwirklichung_zunchst_anbietet_nahezu,1.0,0.0,0.0,0.0,22,0.0333
8_konsum_dinge_dingen_glck konsum,1.0,0.0,0.0,0.0,20,0.0303
9_glck glcklich_gefhl_differenzierung_zufall,1.0,0.0,0.0,0.0,16,0.0242
TOTAL,0.9924,0.003,0.0045,0.0715,661,1.0
