,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,glckliches,0.0523,moral,0.0856,lust,0.0602,glcksvorstellungen,0.0817,sinn,0.0514,gute leben,0.1011,wege glck,0.2192,konsum,0.167,selbstverwirklichung,0.1929,konsum,0.2038,glck glcklich,0.2893
1,glckliches leben,0.0487,glck moral,0.0708,glcks,0.0455,unglck,0.0646,identitt,0.0497,gute,0.0962,wege,0.2192,wohlstand,0.1493,zunchst,0.111,dinge,0.1657,gefhl,0.2263
2,schuljahrgnge,0.0445,analysieren,0.0572,hedonismus,0.0439,glck glcklich,0.0552,kompetenzerwerb,0.0493,leben glck,0.0925,wnsche,0.1648,glck konsum,0.1349,anbietet,0.1028,dingen,0.1421,differenzierung,0.1916
3,fragen,0.0439,reflektieren,0.0453,eher,0.0416,untersuchen,0.0478,kriterien,0.0479,glck gute,0.0838,bedrfnisse,0.1349,armut,0.1344,nahezu,0.1011,glck konsum,0.1117,zufall,0.1878
4,umgang,0.0412,interpretieren,0.0446,zufriedenheit,0.0399,frage,0.0415,zukunft,0.0454,antike,0.0833,relevante,0.0923,argumente,0.1069,selbstverstndlich,0.1011,chancen,0.1003,absicht,0.1851
5,erfolg,0.0412,welt,0.0439,lebenskunst,0.0395,glck unglck,0.0398,mgliche,0.0451,glck glck,0.0812,vergleichen,0.0871,aussagen,0.0725,werbungen,0.1002,beim,0.0935,glcksbegriffe,0.1637
6,gelingendes,0.0378,gesellschaft,0.0438,philosophie,0.0385,glcklich glck,0.0386,inhalte,0.0439,leben antike,0.072,argumente,0.0865,glcks sollensethik,0.0697,scheinbar,0.0992,gemeinschaft,0.0935,glcklich glck,0.1634
7,mensch,0.0354,verantwortung,0.0421,glcksvorstellungen,0.0377,gut,0.0353,gemeinschaft,0.0434,ziel,0.0697,bedrfnissen,0.0738,sollensethik,0.0697,gegenstand,0.0992,sinnvolles,0.0878,sei,0.1543
8,grundbegriffe,0.0326,wahrnehmen,0.0421,mrchen,0.0369,definieren,0.0347,beitrag,0.0418,geld,0.0612,kriterien,0.0726,kompetenzen methodischdidaktische,0.0678,berhaupt,0.095,mglichkeit,0.0777,definieren,0.1472
9,liebe,0.032,mensch,0.0373,aristoteles,0.0364,sachkompetenz,0.0335,lebensgestaltung,0.0406,hauptphase,0.0563,handlungen,0.0701,methodischdidaktische,0.0678,glcks glck,0.0925,sozialen,0.077,situationen denen,0.1277
10,glcksvorstellungen,0.032,gerechtigkeit,0.037,kompetenz,0.0346,zustand,0.0329,bewerten,0.0389,individuum,0.0557,relevanz,0.0653,materiellen,0.0675,reflexion,0.0917,zunchst,0.077,beschreiben situationen,0.1277
11,identitt,0.0298,hineinversetzen,0.036,wahlbereich,0.0329,zusammenhang,0.0326,natur,0.0387,leben allgemeine,0.0552,sammeln,0.0645,zugehrigkeit glcks,0.0675,lebensziele,0.0892,glck erlutern,0.0753,denen glck,0.1234
12,anerkennung,0.0296,normen,0.0353,verschiedener,0.0321,hinweise glck,0.0321,leitperspektive,0.0382,glcklichen,0.0546,knnen handlungsmuster,0.0634,zugehrigkeit,0.0656,glck vermittelt,0.0872,entwerfen,0.0748,denen,0.1106
13,gelingendes leben,0.0296,handeln,0.0332,begriffe,0.0297,formulieren,0.0321,beitrag leitperspektive,0.0382,ethik hauptphase,0.0541,handlungsmuster,0.0624,identifizieren,0.0597,vermittelt,0.0872,scheint,0.0695,glck beschreiben,0.1089
14,verantwortung,0.0293,natur,0.028,auseinandersetzung,0.0296,erkennen,0.0316,glckliches,0.0356,heute,0.0529,sucht,0.0624,kultur,0.0597,eigene vorstellungen,0.0857,denkanste,0.0685,enthalten,0.0995
15,mgliche,0.0287,technik,0.0269,gesellschaft,0.0289,selbstverwirklichung glck,0.0306,verantwortung,0.0351,beim,0.0526,freizeit,0.0609,texten,0.0586,denkanste,0.0847,regeln,0.0681,sollen vorstellungen,0.0958
16,umwelt,0.0281,freiheit,0.0266,positive,0.0287,menschen,0.03,freundschaft,0.0347,konkretisierungen hinweise,0.0524,problem,0.0607,drei,0.0553,ziele,0.0847,erlutern,0.0642,schpfung,0.0947
17,wirklichkeit,0.0272,werte,0.0253,persnliche,0.0286,glck beschreiben,0.0289,reflektieren,0.0343,moral,0.0524,begrnden,0.0577,gegenargumente,0.0553,form,0.0801,suche,0.064,mensch,0.0934
18,handeln,0.0269,gute,0.025,ziel,0.0281,werbung,0.0288,glcklichen,0.0325,passt,0.0521,verschiedene,0.0553,argumente gegenargumente,0.0553,scheint,0.0788,glck beschreiben,0.0525,lebens ethik,0.0916
19,zusammenleben,0.0264,reflektieren glck,0.0247,menschlichen,0.0272,analysieren,0.0275,endlichkeit,0.0319,kompetenzen konkretisierungen,0.0518,handlungen situationen,0.0542,grundlegende,0.0551,individuellen,0.0778,schule,0.0522,glck inhaltsbezogene,0.0889
