subject,-1_ebene_umwelt_biodiversitt_systemebenen,0_dna_replikation_chromosomen_meiose,1_variation_fortpflanzung_selektion_lebewesen,2_evolution_evolutionstheorie_arten_gendrift,3_kologie_neurobiologie_kosysteme_evolution,4_proteinbiosynthese_dna_realisierung_genetischen codes,5_wahlbereich_ustd_lernbereich_soziale,6_mutationen_mutation_mutagene_trisomie,7_medien_digitaler_kenntnisse_genetischer kenntnisse,8_lernenden knnen_proteinen_lernenden_ausbildung,9_dominant rezessiv_dominant_rezessiv_wiederholung,entropy,subject_total,subject_proportion
Bio,0.2041,0.3121,0.1004,0.0929,0.0821,0.068,0.0151,0.0551,0.027,0.0259,0.0173,2.9037,926,0.9344
"Ethik, Philo",0.3636,0.0455,0.0,0.0455,0.0,0.0,0.4545,0.0,0.0909,0.0,0.0,1.7676,22,0.0222
Geschichte,0.0,0.0,0.0714,0.0,0.0,0.0,0.9286,0.0,0.0,0.0,0.0,0.3712,28,0.0283
Psychologie,0.0,0.0,0.5,0.1667,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.4591,6,0.0061
Sozialkunde,0.0,0.0,0.0,0.0,0.0,0.0,0.8889,0.0,0.1111,0.0,0.0,0.5033,9,0.0091
TOTAL,0.1988,0.2926,0.0989,0.0888,0.0767,0.0636,0.0605,0.0515,0.0283,0.0242,0.0161,2.996,991,1.0
