subject,0_stunden_demokratie_methodenkompetenz_konflikte,1_nische_parasitismus_symbiose_kologische nische,entropy,subject_total,subject_proportion
Bio,0.0435,0.9565,0.258,69,0.5074
"Ethik, Philo",0.9167,0.0833,0.4138,12,0.0882
Geschichte,1.0,0.0,0.0,24,0.1765
Sozialkunde,1.0,0.0,0.0,31,0.2279
TOTAL,0.5074,0.4926,0.9998,136,1.0
