topic_name,Bio,"Ethik, Philo",Geschichte,Sozialkunde,entropy,topic_total,topic_proportion
0_stunden_demokratie_methodenkompetenz_konflikte,0.0435,0.1594,0.3478,0.4493,1.6675,69,0.5074
1_nische_parasitismus_symbiose_kologische nische,0.9851,0.0149,0.0,0.0,0.1119,67,0.4926
TOTAL,0.5074,0.0882,0.1765,0.2279,1.7336,136,1.0
