Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
wirtschaftlich,historisch,ethisch,handlung,politisch
sozial,beurteilen,denken,wert,kompetenz
politisch,bewerten,handlung,analysieren,entscheidung
welt,mensch,grundlage,norm,fähigkeit
verantwortung,bildung,kompetenz,moralisch,gesellschaftlich
nachhaltig,grundlegend,wirtschaftlich,ethik,lernen
freiheit,digital,dimension,motiv,entwickeln
mensch,beschreiben,verantwortlich,regel,ökonomisch
bedeutung,entwicklung,entwickeln,ethisch,fach
entwicklung,geschichte,argument,mensch,lernende
beurteilen,unterschiedlich,wertvorstellung,situation,unterricht
möglichkeit,menschlich,verantwortung,leben,reflektieren
wirtschaft,erkennen,urteil,reflektieren,treffen
ökonomisch,ökonomisch,voraussetzung,begriff,verstehen
medium,verschieden,frage,beschreiben,beitrag
gesellschaft,reflektieren,ethik,frage,bereich
erläutern,kulturell,inhalt,relevanz,vertreten
unternehmen,verantwortung,position,folge,entwicklung
staatlich,nachhaltig,philosophisch,information,erkennen
akteur,lernbereich,ziel,gewissen,aufgabe
