term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
beschreiben,213,0.0765,0.0116,0.0002,0.0394,0.0195,0.0195,0.0009
situation,109,0.0271,0.0017,0.0002,0.0155,0.021,0.0354,0.003
mensch,102,0.0029,0.0314,0.0021,0.0001,0.0376,0.0219,0.0104
bedürfnis,87,0.0001,0.0001,0.0329,0.0073,0.0003,0.0002,0.0321
kompetenz,82,0.0213,0.0001,0.0002,0.0045,0.0003,0.0099,0.0232
gedanke,78,0.0478,0.0038,0.0001,0.0001,0.0003,0.0129,0.0001
perspektive,69,0.0045,0.0215,0.0064,0.0104,0.023,0.0002,0.0008
vernunft,66,0.0001,0.0153,0.0002,0.0002,0.0003,0.0002,0.025
sozial,64,0.0001,0.0118,0.0313,0.004,0.0003,0.0002,0.0121
möglichkeit,61,0.017,0.0001,0.019,0.0063,0.0003,0.0151,0.0001
reflektieren,57,0.0003,0.003,0.0256,0.0085,0.0003,0.0034,0.0111
leben,55,0.0002,0.0017,0.0256,0.0046,0.0009,0.0002,0.0119
verschieden,54,0.0095,0.0077,0.0001,0.0106,0.0003,0.0231,0.0005
ethik,52,0.0031,0.0093,0.0033,0.0001,0.0122,0.0142,0.008
ethisch,50,0.0001,0.0061,0.0001,0.0165,0.0003,0.0002,0.01
frage,50,0.0001,0.0192,0.0001,0.0102,0.0003,0.0002,0.008
umgang,49,0.0224,0.0003,0.0002,0.0034,0.0185,0.0002,0.0012
handeln,47,0.0001,0.0134,0.0002,0.0001,0.01,0.0028,0.0134
lernende,47,0.0001,0.0001,0.0302,0.0001,0.0003,0.0002,0.0158
inhaltsbezogen,46,0.0229,0.0001,0.0002,0.0023,0.0003,0.007,0.0031
unterscheid,46,0.0062,0.0001,0.0064,0.0092,0.0172,0.0056,0.0001
methodischdidaktisch,44,0.0214,0.0001,0.0002,0.0026,0.0003,0.0071,0.0028
moralisch,43,0.0001,0.0276,0.0061,0.0005,0.0006,0.0002,0.0035
verändern,43,0.0309,0.0002,0.0014,0.0001,0.0003,0.0002,0.0001
bedeutung,42,0.0002,0.003,0.0025,0.0072,0.0013,0.0002,0.014
form,42,0.0225,0.0001,0.0002,0.0037,0.0003,0.0065,0.001
nehmen,42,0.0016,0.0019,0.018,0.0017,0.0005,0.0002,0.0135
unterschiedlich,42,0.0001,0.0001,0.0211,0.0155,0.0003,0.0002,0.0016
begriff,41,0.0202,0.0002,0.0002,0.0085,0.0003,0.0002,0.0007
folge,41,0.0144,0.0002,0.0002,0.0106,0.0003,0.0075,0.0001
individualität,41,0.0008,0.015,0.0002,0.0001,0.0003,0.0002,0.0118
kompetenzerwartunge,41,0.0025,0.004,0.0002,0.0078,0.0312,0.0002,0.0005
bestimmt,40,0.0123,0.0001,0.0001,0.0028,0.0003,0.0154,0.0039
wahrnehmung,40,0.0002,0.0035,0.0001,0.0122,0.0035,0.0002,0.0074
darstellung,39,0.0169,0.0003,0.0002,0.0017,0.0102,0.0064,0.0032
mindmap,38,0.0227,0.0001,0.0002,0.0001,0.0111,0.0002,0.0001
brainstorming,37,0.0236,0.0001,0.0001,0.0001,0.0076,0.0002,0.0001
fähigkeit,36,0.0001,0.004,0.015,0.0001,0.0003,0.0002,0.0133
bewerten,34,0.018,0.0001,0.0001,0.006,0.0003,0.0002,0.0001
erkennen,33,0.0001,0.0001,0.0001,0.0059,0.0003,0.0002,0.0176
freundschaft,33,0.0005,0.0001,0.0002,0.0001,0.0576,0.0002,0.0001
interesse,33,0.0001,0.0042,0.0002,0.0066,0.0003,0.0002,0.0132
analysieren,32,0.0023,0.0001,0.0001,0.0016,0.0003,0.0074,0.0113
handlung,31,0.0001,0.0035,0.0001,0.0042,0.0003,0.0002,0.0123
klassenstuf,31,0.0001,0.0001,0.0321,0.0001,0.0003,0.0002,0.0001
armut,30,0.0001,0.0001,0.0002,0.009,0.0003,0.0175,0.0001
welt,30,0.0001,0.0062,0.0002,0.0031,0.0211,0.0002,0.0021
differenzieren,29,0.0152,0.0001,0.0001,0.0001,0.0132,0.0002,0.0001
relevant,28,0.0001,0.0065,0.0001,0.0136,0.0003,0.0002,0.0001
gesellschaftlich,27,0.0001,0.0017,0.0305,0.0001,0.0003,0.0002,0.0003
kontrollieren,27,0.0079,0.0001,0.0002,0.0001,0.0178,0.0066,0.0001
aspekt,26,0.0001,0.0001,0.0033,0.0028,0.0003,0.0002,0.013
wohlstand,26,0.0001,0.0001,0.0002,0.0068,0.0003,0.0175,0.0001
auslösen,25,0.016,0.0004,0.0001,0.0002,0.0003,0.0002,0.0029
regel,25,0.0001,0.0042,0.0001,0.0102,0.0033,0.0002,0.0001
emotion,24,0.0001,0.0001,0.0165,0.0067,0.0004,0.0007,0.0001
identifizieren,24,0.0161,0.0001,0.0002,0.0012,0.0003,0.0002,0.0001
verantwortung,24,0.0001,0.0198,0.0001,0.0001,0.0003,0.0002,0.0001
vorurteil,24,0.0001,0.0001,0.0001,0.0141,0.0003,0.0002,0.0001
person,23,0.0001,0.0002,0.0001,0.011,0.0003,0.0002,0.0054
tier,23,0.0001,0.0042,0.0002,0.0001,0.0272,0.0002,0.0014
gruppe,22,0.0001,0.0054,0.0001,0.0104,0.0003,0.0002,0.0001
emotional,21,0.0003,0.0035,0.0001,0.0107,0.0003,0.0002,0.0001
fremd,21,0.0001,0.0098,0.0001,0.0061,0.0003,0.0002,0.0003
individuell,21,0.0001,0.0116,0.0001,0.0019,0.0003,0.0002,0.003
wahrnehmen,21,0.0001,0.0098,0.0055,0.0005,0.0003,0.0002,0.0027
betrachten,20,0.0151,0.0001,0.0001,0.0001,0.0003,0.0002,0.0001
formulier,20,0.0148,0.0001,0.0001,0.0001,0.0003,0.0002,0.0001
liebe,20,0.0001,0.0001,0.0001,0.0001,0.0231,0.0002,0.0052
religion,20,0.0001,0.0022,0.0001,0.0104,0.0003,0.0002,0.0001
stellen,20,0.0001,0.0109,0.0001,0.0052,0.0003,0.0003,0.0001
vergleich,20,0.0001,0.0001,0.0002,0.0102,0.0003,0.002,0.0007
position,19,0.0001,0.0047,0.0002,0.0087,0.0003,0.0037,0.0001
verantwortlich,19,0.0001,0.0029,0.0001,0.0001,0.0003,0.0002,0.0106
weise,19,0.0002,0.0001,0.0001,0.0001,0.0003,0.0174,0.0032
selbstwahrnehmung,18,0.0001,0.0001,0.0001,0.0002,0.0003,0.0002,0.0118
sozialkompetenz,18,0.0001,0.0031,0.0163,0.0015,0.0003,0.0002,0.0001
umwelt,18,0.0001,0.0112,0.0002,0.0001,0.0022,0.0002,0.0021
entsprechend,17,0.0001,0.0001,0.0178,0.0015,0.0003,0.0002,0.0001
klassengemeinschaft,17,0.0001,0.0053,0.0002,0.0001,0.0159,0.0002,0.0001
natur,17,0.0001,0.0132,0.0007,0.0001,0.0003,0.0002,0.0001
sehen,17,0.0001,0.0001,0.0001,0.0001,0.0041,0.0002,0.0105
treten,17,0.0001,0.0001,0.0058,0.0001,0.0188,0.0002,0.0001
entwicklung,16,0.0001,0.0095,0.0001,0.0001,0.0025,0.0002,0.0032
gerechtigkeit,16,0.0001,0.011,0.0001,0.0014,0.0003,0.0002,0.0001
angst,14,0.0001,0.0001,0.0002,0.0026,0.001,0.0149,0.0001
freiheit,14,0.0001,0.0115,0.0002,0.0001,0.0003,0.0002,0.0001
verantwortungsvoll,14,0.0001,0.0001,0.0167,0.0001,0.0003,0.0002,0.0002
aktiv,13,0.0001,0.0001,0.0163,0.0001,0.0003,0.0002,0.0001
anforderung,13,0.0001,0.0001,0.0163,0.0001,0.0003,0.0002,0.0001
beherrschen,13,0.0001,0.0001,0.0002,0.0001,0.0205,0.0002,0.0001
quelle,13,0.0001,0.0004,0.0002,0.0022,0.0003,0.0156,0.0001
wahrnehmungsfähigkeit,13,0.0001,0.0001,0.0159,0.0001,0.0003,0.0002,0.0001
überzeugung,13,0.0001,0.0001,0.0159,0.0001,0.0003,0.0002,0.0001
ableit,12,0.0002,0.0001,0.0001,0.0001,0.0033,0.0126,0.0001
deutsch,12,0.0001,0.0002,0.0002,0.0001,0.0003,0.0213,0.0001
gestik,12,0.0003,0.0001,0.0001,0.0001,0.0003,0.0149,0.0001
jung,12,0.0001,0.0001,0.0001,0.0001,0.0188,0.0002,0.0001
konzentrationsbereitschaft,12,0.0001,0.0001,0.015,0.0001,0.0003,0.0002,0.0001
körperhaltung,12,0.0003,0.0001,0.0001,0.0001,0.0003,0.0149,0.0001
unbestimmt,12,0.0001,0.0001,0.0001,0.0001,0.0188,0.0002,0.0001
unwichtig,12,0.0001,0.0001,0.0002,0.0001,0.0188,0.0002,0.0001
verdrängen,12,0.0001,0.0001,0.0002,0.0001,0.0188,0.0002,0.0001
mimik,10,0.0002,0.0001,0.0001,0.0001,0.0003,0.0126,0.0001
pantomime,10,0.0002,0.0001,0.0001,0.0001,0.0003,0.0126,0.0001
bereich,8,0.0001,0.0003,0.0001,0.0001,0.017,0.0002,0.0001
ereignis,7,0.0001,0.0001,0.0001,0.0001,0.0003,0.0128,0.0001
