Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
beschreiben,mensch,bedürfnis,beschreiben,freundschaft,situation,bedürfnis
gedanke,moralisch,klassenstuf,ethisch,mensch,verschieden,vernunft
verändern,perspektive,sozial,unterschiedlich,kompetenzerwartunge,mensch,kompetenz
situation,verantwortung,gesellschaftlich,situation,tier,deutsch,erkennen
brainstorming,frage,lernende,vorurteil,liebe,beschreiben,lernende
inhaltsbezogen,vernunft,reflektieren,relevant,perspektive,armut,bedeutung
mindmap,individualität,leben,wahrnehmung,welt,wohlstand,nehmen
form,handeln,unterschiedlich,person,situation,weise,handeln
umgang,natur,möglichkeit,emotional,beherrschen,quelle,fähigkeit
methodischdidaktisch,sozial,nehmen,folge,beschreiben,bestimmt,interesse
kompetenz,individuell,entsprechend,verschieden,jung,möglichkeit,aspekt
begriff,beschreiben,verantwortungsvoll,perspektive,unbestimmt,körperhaltung,handlung
bewerten,freiheit,emotion,religion,treten,angst,sozial
möglichkeit,umwelt,sozialkompetenz,gruppe,unwichtig,gestik,leben
darstellung,gerechtigkeit,aktiv,vergleich,verdrängen,ethik,individualität
identifizieren,stellen,anforderung,frage,umgang,gedanke,selbstwahrnehmung
auslösen,wahrnehmen,überzeugung,regel,kontrollieren,ereignis,analysieren
differenzieren,fremd,wahrnehmungsfähigkeit,unterscheid,unterscheid,pantomime,reflektieren
betrachten,entwicklung,konzentrationsbereitschaft,armut,bereich,mimik,verantwortlich
formulier,ethik,fähigkeit,position,klassengemeinschaft,ableit,sehen
