term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
kooperation,450,0.0471,0.0177,0.021,0.0164,0.0278
kooperativ,191,0.0062,0.0214,0.0189,0.0201,0.0052
lernen,179,0.0106,0.0148,0.0172,0.0173,0.0033
lernende,140,0.0061,0.0077,0.0001,0.0002,0.0295
kommunikation,136,0.0168,0.0001,0.0108,0.0059,0.0011
international,121,0.0298,0.0001,0.0001,0.0002,0.0001
individuell,117,0.0057,0.009,0.0081,0.0167,0.0046
fach,112,0.0038,0.0103,0.0089,0.0196,0.0016
sozial,104,0.0042,0.0001,0.0044,0.0046,0.0208
unterricht,103,0.002,0.012,0.0114,0.0195,0.0023
medium,85,0.0058,0.0018,0.0158,0.0002,0.0001
konflikt,84,0.0104,0.0028,0.0004,0.0002,0.0102
angemessen,83,0.0,0.0191,0.0001,0.0002,0.0071
kompetenz,82,0.0016,0.0004,0.0146,0.0028,0.0071
entwicklung,81,0.0106,0.0001,0.0001,0.0002,0.0108
politisch,80,0.0087,0.0001,0.0214,0.0002,0.0001
bedeutung,80,0.009,0.0001,0.0039,0.0063,0.0053
unterschiedlich,76,0.0028,0.0031,0.0057,0.0154,0.0072
fördern,72,0.0052,0.0001,0.0117,0.0063,0.002
selbstständig,68,0.0,0.0037,0.011,0.0131,0.0028
partner,66,0.0,0.0169,0.0001,0.0002,0.0051
leistung,66,0.001,0.016,0.0001,0.0126,0.0001
angebot,64,0.0,0.0023,0.0072,0.0002,0.0106
sowohl,61,0.0034,0.0153,0.0001,0.0002,0.0001
digital,61,0.0022,0.0026,0.008,0.0002,0.0053
entwickeln,60,0.0,0.0001,0.0015,0.0119,0.0138
gesellschaftlich,59,0.0035,0.0038,0.0002,0.0005,0.0092
außerschulisch,59,0.0,0.0197,0.0001,0.0002,0.0001
modell,58,0.0,0.0169,0.0053,0.0002,0.0001
aufgabe,58,0.0,0.0104,0.0018,0.0004,0.0061
europäisch,57,0.0118,0.0001,0.0001,0.0002,0.0001
fähigkeit,56,0.0037,0.0001,0.0003,0.004,0.0119
welt,55,0.0095,0.0001,0.0015,0.0002,0.0001
sozialkompetenz,54,0.0,0.0042,0.0033,0.0002,0.0079
arbeit,54,0.0006,0.0001,0.0088,0.0002,0.0061
verantwortung,50,0.0023,0.0001,0.0001,0.0002,0.0109
handeln,49,0.0037,0.0001,0.0028,0.0002,0.0087
ökonomisch,48,0.0066,0.0001,0.0105,0.0002,0.003
einsatz,47,0.0033,0.0112,0.0001,0.0002,0.0001
form,45,0.0026,0.0001,0.002,0.01,0.0044
aktiv,45,0.0,0.0001,0.01,0.0002,0.0048
jahrgangsstufe,44,0.0,0.02,0.0001,0.0002,0.0001
global,43,0.0091,0.0001,0.0001,0.0002,0.0001
arbeiten,42,0.0,0.0001,0.0001,0.0093,0.0098
thema,42,0.0074,0.0002,0.0018,0.0043,0.0001
solidarität,40,0.0,0.0001,0.0001,0.0002,0.0114
konfrontation,40,0.008,0.0001,0.0004,0.0002,0.0001
deutschland,39,0.0074,0.0001,0.0002,0.0002,0.0001
chance,38,0.0078,0.0001,0.0005,0.0002,0.0001
methode,38,0.0,0.0038,0.0009,0.0159,0.0008
teamfähigkeit,37,0.0,0.0001,0.0001,0.0048,0.01
europa,36,0.0063,0.0001,0.0011,0.0002,0.0001
bewertung,35,0.0,0.0105,0.0009,0.0005,0.0001
methodenkompetenz,34,0.0013,0.0001,0.0093,0.0002,0.0001
fachlich,33,0.0,0.0102,0.0001,0.0002,0.0001
fächerübergreifend,32,0.0,0.0001,0.0097,0.0002,0.0001
lassen,31,0.0,0.0001,0.009,0.0002,0.0001
übernehmen,31,0.0,0.0001,0.0001,0.0002,0.0091
erreichen,31,0.0,0.0101,0.0001,0.0002,0.0001
rolle,31,0.0039,0.0001,0.0009,0.0091,0.0001
niveaustufen,30,0.0,0.0147,0.0001,0.0002,0.0001
niveaustuf,30,0.0,0.0147,0.0001,0.0002,0.0001
politik,30,0.0063,0.0001,0.0001,0.0002,0.0001
dienen,28,0.0,0.0001,0.0101,0.0002,0.0001
schriftlich,28,0.0014,0.0025,0.0001,0.0117,0.0001
respektieren,27,0.0,0.0001,0.0001,0.0002,0.0075
rücksichtnahme,27,0.0,0.0001,0.0001,0.0002,0.0079
demokratisch,23,0.0008,0.0001,0.0009,0.0002,0.0093
wissen,23,0.0,0.0001,0.0001,0.0147,0.0028
anwenden,22,0.0,0.0006,0.0001,0.0112,0.0021
jahrgangsstuf,21,0.0,0.0102,0.0001,0.0002,0.0001
mündlich,20,0.0,0.0012,0.0001,0.0138,0.0001
fachkonzept,17,0.0073,0.0001,0.0012,0.0002,0.0001
vorbereiten,12,0.0,0.0001,0.0001,0.0088,0.0001
zählen,10,0.0,0.0001,0.0001,0.0084,0.0001
