subject,-1_arten_sek_individuen_fhren,0_variabilitt_selektion_evolution_sek,1_pflanzen_lebensrume_tiere_tieren,2_sachkompetenz_rolle_leben_bezge,3_fotosynthese_licht_umweltfaktoren_umweltfaktor,4_organismen_struktur_funktion_struktur funktion,5_schule_knnen_basiskonzepte_anpassungen,6_lebewesen_umwelt_bau funktion_umwelt angepasst,7_fach_schuljahrgnge_erziehung_kompetenzentwicklung,8_oberstufe_macht_notwendige_gymnasiale oberstufe,9_lebensweise_lebensweise lebensraum_insekten_gruppen,entropy,subject_total,subject_proportion
Bio,0.162,0.25,0.174,0.012,0.13,0.098,0.056,0.072,0.01,0.008,0.028,2.9248,500,0.7788
"Ethik, Philo",0.129,0.0323,0.0,0.2258,0.0323,0.0323,0.129,0.129,0.129,0.129,0.0323,3.03,31,0.0483
Geschichte,0.0286,0.0,0.0,0.6,0.0,0.0,0.1429,0.0,0.1429,0.0857,0.0,1.6946,35,0.0545
"Psychologie, Gesundheit",0.3,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.1,0.0,2.171,10,0.0156
Sozialkunde,0.0909,0.0152,0.0152,0.5,0.0303,0.0152,0.0758,0.0303,0.0909,0.1212,0.0152,2.4521,66,0.1028
TOTAL,0.148,0.1994,0.1371,0.109,0.1059,0.0794,0.0654,0.0654,0.0343,0.0312,0.0249,3.2168,642,1.0
