topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,1,0.1345,166,107.3195
2,8,0.1115,164,44.5933
3,17,0.0654,72,63.8829
4,12,0.0645,67,67.4693
5,7,0.0639,85,65.8856
6,9,0.0629,71,79.7986
7,14,0.0541,54,57.9659
8,11,0.0494,48,44.2206
9,2,0.0461,52,55.2733
10,10,0.0447,52,51.1421
11,20,0.0447,41,118.0371
12,6,0.0444,48,50.6043
13,19,0.043,58,56.2864
14,16,0.041,42,83.714
15,3,0.0318,29,94.1383
16,13,0.0303,29,110.3361
17,15,0.0226,23,69.5064
18,4,0.0178,13,60.0021
19,5,0.0158,12,84.1348
20,18,0.0115,8,55.766
