Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
bildung,europäisch,religion,politisch,mensch
vielfalt,gesellschaft,kompetenz,demokratisch,historisch
thema,geschichte,gesellschaftlich,sozial,leben
wissenschaft,historisch,verschieden,gesellschaft,verschieden
leben,europa,mensch,demokratie,erkennen
lernen,entwicklung,sozial,nehmen,unterschiedlich
kompetenz,wirtschaft,leben,mensch,entwickeln
sport,religion,handeln,kulturell,kulturell
welt,herrschaft,zusammenleben,beitrag,gesellschaft
deutsch,mittelalter,unterschiedlich,leben,natur
religionsunterricht,antik,entwicklung,system,beurteilen
demokratie,revolution,welt,ziel,mitin
interkulturell,aspekt,ethik,bildung,bedeutung
wert,politisch,begriff,gesellschaftlich,bildung
geschichte,republik,identität,rolle,bewerten
kulturell,beispiel,frage,einfluss,beschreiben
inklusion,beschreiben,inhaltsbezogen,thema,wissenschaft
globalisierung,römisch,kulturell,gestaltung,zusammenhang
erwerb,grundlage,methodischdidaktisch,lernende,lernende
projekt,antike,perspektive,erziehung,gruppe
