term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
leben,521,0.013,0.0722,0.0409,0.0342,0.08,0.0069,0.0115,0.0001,0.0586,0.0321,0.007,0.017
mensch,240,0.0462,0.0133,0.0164,0.0001,0.0145,0.0,0.0219,0.0023,0.0001,0.0001,0.0674,0.0104
ethik,199,0.0003,0.0113,0.0146,0.0001,0.0177,0.0068,0.0109,0.0001,0.028,0.0061,0.0065,0.0406
moral,168,0.0003,0.0046,0.0001,0.0116,0.0145,0.0,0.0393,0.0001,0.012,0.0001,0.0001,0.0436
glücksvorstellung,144,0.0003,0.0041,0.0001,0.0434,0.0082,0.0,0.0001,0.0503,0.0001,0.0001,0.0171,0.0001
vorstellung,136,0.0003,0.0083,0.0027,0.0154,0.0236,0.0001,0.01,0.0001,0.0001,0.0021,0.0041,0.0001
begriff,116,0.0003,0.0001,0.028,0.0001,0.0032,0.0168,0.0053,0.0001,0.0001,0.0001,0.0103,0.009
frage,116,0.0003,0.0152,0.0001,0.001,0.0082,0.0049,0.0001,0.0001,0.0001,0.0218,0.0078,0.0001
individuell,105,0.0003,0.003,0.0001,0.0001,0.0082,0.0,0.0141,0.0129,0.0022,0.0328,0.0045,0.0001
ziel,95,0.0003,0.0096,0.0189,0.0047,0.0033,0.0013,0.0001,0.0001,0.0001,0.0015,0.0216,0.0001
sozial,91,0.0003,0.0074,0.0001,0.0073,0.0133,0.0176,0.0001,0.0001,0.0001,0.0001,0.0085,0.0001
verantwortung,90,0.0003,0.0101,0.0001,0.0029,0.0003,0.0001,0.03,0.0001,0.0001,0.0061,0.0001,0.0001
konsum,86,0.0003,0.0009,0.0001,0.0001,0.0084,0.0305,0.0001,0.0001,0.0003,0.0001,0.0001,0.0001
moralisch,84,0.0003,0.0049,0.0001,0.0214,0.0169,0.0,0.0001,0.0001,0.0001,0.0173,0.0001,0.0001
verschieden,83,0.0003,0.0,0.0001,0.0178,0.0,0.0044,0.0053,0.0135,0.0001,0.0095,0.0001,0.0106
freiheit,81,0.0003,0.0098,0.0001,0.0209,0.0091,0.0025,0.0001,0.0074,0.0001,0.0021,0.0052,0.0009
gesellschaft,81,0.0003,0.0116,0.0043,0.0001,0.0001,0.0012,0.0171,0.0001,0.0001,0.0006,0.0001,0.0234
wert,81,0.0152,0.0093,0.0001,0.0017,0.0033,0.0,0.0113,0.0001,0.0001,0.0001,0.0064,0.0136
sinn,77,0.0123,0.019,0.0001,0.0001,0.0006,0.0,0.0001,0.0001,0.0002,0.013,0.0001,0.0001
