term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
denken,277,0.0,0.0013,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0032,0.0075,0.0096,0.0,0.0,0.0
nachhaltig,273,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0047
rolle,271,0.0,0.0077,0.0,0.0,0.0,0.0,0.0001,0.0061,0.0063,0.0,0.0,0.0006,0.0,0.0,0.0
religion,268,0.0019,0.0,0.0,0.0,0.0,0.0012,0.007,0.0,0.0222,0.0,0.0,0.0,0.0,0.0,0.0
funktion,266,0.0037,0.0,0.0,0.0133,0.0,0.0003,0.0001,0.0,0.0028,0.0,0.0033,0.0,0.0,0.0004,0.0121
verhalten,265,0.0,0.0042,0.0,0.0019,0.0123,0.0006,0.0,0.0,0.0,0.012,0.0,0.0046,0.0,0.0,0.0
ziel,255,0.0,0.0023,0.0,0.0,0.0,0.0064,0.0,0.0,0.0138,0.0,0.0,0.0,0.0,0.0,0.0
philosophisch,253,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0009,0.0
kommunikation,252,0.0,0.0138,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stellen,249,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0059
form,249,0.0,0.0033,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0125,0.0,0.0005,0.0,0.0036,0.0025
system,246,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439,0.0,0.0,0.0,0.0
biologisch,245,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0197
lernbereich,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0269,0.0,0.0,0.0
religiös,242,0.0,0.0007,0.0,0.0,0.0,0.0013,0.0124,0.0018,0.0015,0.0,0.0025,0.0059,0.0,0.0012,0.0
erkenntnis,239,0.0045,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0134,0.0,0.0,0.0
lebewesen,234,0.0,0.0,0.0,0.0,0.0449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revolution,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0
medium,223,0.0,0.0051,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0138,0.0014,0.0,0.0,0.0,0.0
struktur,220,0.0,0.0041,0.0,0.0145,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0
moralisch,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0027,0.0,0.0285,0.0,0.0,0.0,0.0
wirtschaftlich,212,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kenntnis,212,0.0,0.0,0.0036,0.0,0.0,0.0,0.011,0.0056,0.0,0.0,0.0,0.0,0.0044,0.005,0.0
konflikt,210,0.0,0.0043,0.0,0.0,0.0032,0.0,0.0022,0.0,0.0,0.0151,0.0,0.0,0.0,0.0,0.0
organismus,208,0.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205
beitrag,203,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stehen,201,0.0,0.0024,0.0,0.0,0.0,0.0021,0.0,0.0052,0.0,0.0,0.0093,0.0,0.0,0.0,0.0
arbeit,198,0.0,0.0012,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0002,0.0,0.0,0.0,0.0
vielfalt,193,0.0,0.0052,0.0,0.0,0.0132,0.0,0.0019,0.0,0.0,0.0,0.0,0.003,0.0,0.0003,0.0
basiskonzept,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227
erfahrung,191,0.0,0.0,0.0,0.0,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
information,190,0.0,0.0034,0.0,0.0,0.0047,0.0,0.002,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0
einfluss,189,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biologie,187,0.0,0.0059,0.0,0.0082,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0
philosophie,184,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
position,183,0.0002,0.0025,0.0,0.0,0.0,0.004,0.0017,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0009
inhaltsfeld,183,0.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahrnehmen,182,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0089,0.0,0.0,0.0,0.0,0.0
ökologisch,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0107
vergangenheit,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242,0.0,0.0,0.0,0.0,0.0,0.0
jung,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.0,0.0,0.0083,0.0,0.0,0.0,0.0
glück,174,0.0,0.0011,0.0,0.0,0.0,0.0074,0.0,0.0,0.0,0.0006,0.0012,0.0,0.0,0.0,0.0
zukunft,173,0.0,0.0008,0.0,0.0,0.0005,0.0,0.0,0.0102,0.0,0.0,0.0046,0.0,0.0,0.0,0.0
naturwissenschaftlich,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regel,171,0.0,0.0008,0.0,0.0034,0.0,0.004,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0
