topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,1,0.1521,104,51.205
2,13,0.1419,92,21.2616
3,9,0.0991,54,34.5985
4,19,0.086,47,43.4599
5,14,0.0695,39,44.3528
6,10,0.0689,40,39.771
7,2,0.0669,38,48.5731
8,7,0.0515,25,29.0119
9,6,0.0483,25,67.5048
10,11,0.0471,28,45.5174
11,12,0.0457,24,28.3418
12,5,0.0398,19,39.3362
13,20,0.0289,14,69.2414
14,16,0.0131,6,51.3942
15,15,0.0129,5,65.6719
16,3,0.0106,5,148.8903
17,4,0.0072,2,54.3012
18,17,0.0055,2,46.4465
19,8,0.0025,0,1.0801
20,18,0.0025,0,1.0103
