term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
anthropologie,293,0.0193,0.0262,0.0023,0.0486,0.0308,0.0003,0.0524,0.0549,0.0396,0.0214
mensch,259,0.0351,0.0177,0.0022,0.0553,0.0508,0.003,0.0111,0.0175,0.0268,0.0034
ethik,187,0.0003,0.0002,0.0022,0.0341,0.0093,0.0021,0.0468,0.0021,0.0592,0.0147
philosophie,156,0.0001,0.006,0.0022,0.043,0.0107,0.02,0.0003,0.0002,0.0028,0.0014
anthropologisch,148,0.0366,0.0439,0.0022,0.0144,0.0375,0.0585,0.0002,0.0002,0.0034,0.0091
frage,130,0.0286,0.0023,0.0022,0.0329,0.0066,0.0003,0.0003,0.0002,0.0026,0.0037
philosophisch,115,0.0002,0.0076,0.0022,0.0276,0.0181,0.0063,0.0002,0.0003,0.0202,0.0002
thema,102,0.0149,0.0003,0.0022,0.0279,0.0044,0.0055,0.0147,0.0002,0.0014,0.0002
position,86,0.0249,0.0002,0.0022,0.0173,0.0094,0.0007,0.0031,0.0001,0.0002,0.0014
geschichte,81,0.0002,0.0036,0.0022,0.002,0.0002,0.0002,0.0006,0.0001,0.0075,0.1125
reflexionsbereich,78,0.0001,0.0003,0.0022,0.0038,0.0001,0.0941,0.002,0.0001,0.0082,0.035
gesellschaft,75,0.0001,0.0097,0.0022,0.0081,0.0037,0.0003,0.0052,0.0002,0.0122,0.0373
erkenntnistheorie,73,0.0002,0.0002,0.0022,0.0191,0.0079,0.0002,0.0118,0.0002,0.0002,0.0002
freiheit,73,0.0065,0.0002,0.0023,0.0005,0.0001,0.0165,0.0692,0.0544,0.0307,0.0002
ethisch,67,0.0294,0.0021,0.0022,0.0124,0.0038,0.0003,0.0252,0.0002,0.0002,0.0027
natur,66,0.0053,0.0037,0.0022,0.0167,0.0058,0.0064,0.0002,0.0002,0.0002,0.0002
religion,63,0.0001,0.0182,0.0022,0.0046,0.0002,0.0002,0.0002,0.001,0.033,0.0108
metaphysik,61,0.0001,0.0002,0.0022,0.0072,0.0003,0.0002,0.0013,0.0002,0.0127,0.0315
auseinandersetzung,56,0.0042,0.0028,0.0022,0.0024,0.0066,0.0009,0.0012,0.0001,0.0123,0.0308
sprachphilosophie,55,0.0001,0.0002,0.0022,0.0091,0.0001,0.0002,0.0013,0.0002,0.0055,0.0249
grundfrage,44,0.0001,0.0002,0.0022,0.0139,0.0001,0.0002,0.0002,0.0001,0.0002,0.0002
menschlich,43,0.0005,0.0142,0.0022,0.0015,0.0345,0.0199,0.0002,0.0001,0.0079,0.0014
aspekt,41,0.0126,0.0002,0.0022,0.0002,0.008,0.0002,0.0509,0.0015,0.0142,0.0003
problem,39,0.0001,0.0018,0.0022,0.0051,0.0008,0.059,0.0004,0.0027,0.0002,0.0069
verantwortung,38,0.0028,0.0002,0.0022,0.0015,0.0043,0.0043,0.0762,0.0001,0.0105,0.0003
