term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
leben,521,0.0259,0.058,0.0479,0.0312,0.0801,0.008,0.0073,0.0246,0.0673,0.01
mensch,240,0.0103,0.0298,0.0124,0.0001,0.0138,0.0001,0.0279,0.0105,0.0001,0.0001
ethik,199,0.0299,0.0085,0.0149,0.0084,0.0073,0.0086,0.0208,0.0194,0.0124,0.008
moral,168,0.0078,0.0,0.0001,0.034,0.0149,0.0066,0.0381,0.0001,0.0182,0.0001
glücksvorstellung,144,0.0001,0.0103,0.0001,0.0028,0.018,0.0001,0.0001,0.0191,0.0168,0.0123
vorstellung,136,0.0048,0.0139,0.0001,0.0021,0.0176,0.0001,0.0094,0.0039,0.004,0.0009
begriff,116,0.0057,0.0001,0.0361,0.0079,0.0051,0.0184,0.0037,0.0001,0.0006,0.0001
frage,116,0.0036,0.0079,0.0001,0.0001,0.0097,0.0095,0.0121,0.0001,0.0001,0.0092
individuell,105,0.0001,0.0078,0.0001,0.0096,0.0082,0.0001,0.0069,0.0001,0.0029,0.0225
ziel,95,0.0001,0.0148,0.0247,0.0001,0.0041,0.0014,0.0001,0.0033,0.0001,0.0001
sozial,91,0.0001,0.0074,0.0001,0.0001,0.0079,0.0205,0.0033,0.0095,0.0001,0.0064
verantwortung,90,0.0001,0.0058,0.0001,0.0042,0.0009,0.0001,0.0223,0.0001,0.0001,0.0095
konsum,86,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0524,0.0001,0.0001
moralisch,84,0.0001,0.0046,0.0001,0.0311,0.0192,0.0001,0.0001,0.0001,0.0001,0.0001
verschieden,83,0.0069,0.0,0.0001,0.0122,0.0035,0.0044,0.0065,0.004,0.0001,0.0113
freiheit,81,0.0001,0.0042,0.0001,0.0189,0.0115,0.0001,0.0081,0.0001,0.0001,0.0108
gesellschaft,81,0.0246,0.0094,0.0001,0.0055,0.0,0.002,0.0107,0.0001,0.0001,0.0001
wert,81,0.0001,0.0083,0.0001,0.001,0.0008,0.0001,0.0135,0.0001,0.0238,0.0041
sinn,77,0.0028,0.0196,0.0001,0.0001,0.0001,0.0001,0.001,0.0014,0.0001,0.0001
ethisch,76,0.0001,0.0,0.0001,0.0081,0.0115,0.02,0.0068,0.0044,0.0001,0.0001
selbstverwirklichung,74,0.0044,0.0021,0.0001,0.0002,0.0123,0.0099,0.0014,0.0027,0.0001,0.0001
wahrnehmen,73,0.0001,0.0022,0.0001,0.0019,0.0015,0.0001,0.0244,0.0001,0.0001,0.004
handeln,73,0.0001,0.0055,0.0001,0.0271,0.0,0.0001,0.0015,0.0133,0.0001,0.0001
menschlich,70,0.0071,0.0094,0.0001,0.0056,0.0055,0.0012,0.0025,0.0001,0.0001,0.0001
welt,70,0.0001,0.0,0.0001,0.0001,0.0,0.0045,0.0309,0.0001,0.0001,0.0001
zusammenhang,70,0.0001,0.0125,0.0001,0.0001,0.0051,0.0001,0.0053,0.0001,0.0001,0.0001
handlung,68,0.0001,0.0015,0.0001,0.0107,0.0,0.0272,0.0001,0.0001,0.0001,0.0001
bedeutung,67,0.0052,0.0083,0.0001,0.0008,0.0104,0.0015,0.0033,0.0001,0.0001,0.0001
unglück,67,0.0001,0.0132,0.0001,0.0001,0.0072,0.0001,0.0001,0.0001,0.0001,0.0001
ding,66,0.0001,0.0017,0.0001,0.0001,0.0064,0.0046,0.0001,0.0276,0.0001,0.0013
thema,65,0.0043,0.0022,0.0105,0.0001,0.0038,0.0001,0.0001,0.0285,0.0001,0.0001
gelingend,65,0.003,0.0176,0.0001,0.0001,0.0013,0.0001,0.0001,0.0001,0.0001,0.0001
religion,63,0.0001,0.0008,0.0001,0.0001,0.0,0.0001,0.0258,0.0001,0.0001,0.0024
situation,63,0.008,0.0,0.0001,0.0001,0.0,0.0319,0.0001,0.0001,0.0001,0.0001
form,62,0.0001,0.0043,0.003,0.0104,0.0044,0.0001,0.0063,0.0001,0.0001,0.0016
positiv,61,0.0169,0.0001,0.0268,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
etc,61,0.0116,0.0014,0.0064,0.0107,0.0,0.0001,0.0001,0.0094,0.003,0.0001
bedürfnis,60,0.0001,0.0051,0.0001,0.0001,0.001,0.0219,0.0001,0.0001,0.0001,0.0001
werbung,58,0.0024,0.0,0.0001,0.0001,0.0164,0.0001,0.0001,0.0087,0.0001,0.0001
inhalt,57,0.0031,0.0073,0.0001,0.0001,0.0,0.0029,0.0001,0.0001,0.0001,0.0164
natur,55,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0193,0.0001,0.0001,0.0098
definieren,53,0.0091,0.0,0.008,0.0001,0.0,0.0185,0.0001,0.0001,0.0001,0.0001
weg,52,0.0012,0.0007,0.0001,0.0001,0.01,0.0176,0.0001,0.0001,0.0001,0.0001
lust,51,0.0001,0.005,0.0165,0.0015,0.0,0.0001,0.0001,0.0001,0.0136,0.0001
prüfen,51,0.0153,0.0,0.0001,0.0001,0.0016,0.0139,0.002,0.0001,0.0154,0.0001
denken,51,0.0001,0.0024,0.0001,0.0224,0.0,0.0068,0.0001,0.0001,0.0001,0.0001
erfolg,51,0.0001,0.0076,0.0001,0.0001,0.0,0.0064,0.0001,0.0013,0.0001,0.008
weltanschauung,50,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0161,0.0001,0.0001,0.0109
persönlich,48,0.0035,0.0037,0.0001,0.0001,0.0,0.0001,0.0001,0.0044,0.0001,0.0166
brauchen,48,0.0001,0.0,0.0001,0.0001,0.0066,0.0001,0.0009,0.0173,0.0001,0.0001
gerechtigkeit,48,0.0001,0.006,0.0001,0.0041,0.0005,0.0001,0.0123,0.0001,0.0041,0.0001
argumentieren,47,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0211,0.0001,0.0001,0.0001
glücksbegriff,47,0.0208,0.0,0.0081,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
wunsch,47,0.0001,0.0009,0.0001,0.0001,0.0043,0.0163,0.0007,0.0001,0.0001,0.0001
antike,45,0.0026,0.002,0.0122,0.0111,0.0082,0.0001,0.0001,0.0001,0.0001,0.0017
zusammenleben,45,0.0001,0.0035,0.0001,0.0043,0.0059,0.003,0.0105,0.0001,0.0001,0.0001
interpretieren,45,0.0001,0.0,0.0001,0.0009,0.0,0.0001,0.0161,0.0001,0.0079,0.0001
diskussion,44,0.0001,0.0001,0.0001,0.0001,0.0162,0.0111,0.0001,0.0021,0.0001,0.0001
umwelt,44,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0126,0.0001,0.0001,0.0118
möglichkeit,43,0.0001,0.009,0.0001,0.0001,0.0054,0.0001,0.0001,0.0022,0.0001,0.0001
entwickeln,43,0.0001,0.0043,0.0002,0.0064,0.0,0.014,0.0001,0.0001,0.0001,0.0001
umgang,43,0.0001,0.0051,0.0001,0.0001,0.0,0.0029,0.0033,0.0006,0.0001,0.0137
norm,41,0.0001,0.0026,0.0001,0.0028,0.0,0.0001,0.0106,0.0001,0.0041,0.0001
denkanstöße,40,0.0001,0.0,0.0001,0.0001,0.0193,0.0001,0.0001,0.0001,0.0001,0.0001
selbstbestimmt,40,0.0001,0.0075,0.0001,0.0103,0.0015,0.0001,0.0001,0.0001,0.0001,0.0001
zukunft,40,0.0024,0.0042,0.0001,0.0001,0.0,0.0001,0.003,0.0001,0.0001,0.0113
inhaltsbezogen,40,0.0078,0.0,0.0001,0.0001,0.0,0.0126,0.0019,0.0001,0.0001,0.0001
allgemein,38,0.0001,0.0003,0.0199,0.0001,0.0052,0.0001,0.0035,0.0068,0.0001,0.0001
argument,38,0.0001,0.0,0.0001,0.0001,0.0,0.0219,0.0001,0.0001,0.0001,0.0001
scheinen,38,0.0001,0.0,0.0001,0.0001,0.0185,0.0001,0.0001,0.0001,0.0001,0.0001
philosophie,37,0.0239,0.0001,0.0001,0.0001,0.0011,0.0001,0.0001,0.0001,0.0038,0.0001
verhältnis,37,0.0023,0.0019,0.0001,0.0099,0.004,0.004,0.0001,0.0001,0.0001,0.0001
methodischdidaktisch,36,0.0079,0.0,0.0001,0.0001,0.0,0.0126,0.0001,0.0001,0.0001,0.0001
grundlegend,36,0.0001,0.0011,0.0001,0.0144,0.0,0.0001,0.0001,0.0054,0.0031,0.0001
wahrnehmung,36,0.0001,0.0014,0.0001,0.0098,0.001,0.0118,0.0001,0.0001,0.0001,0.0001
hineinversetzen,36,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0161,0.0001,0.0001,0.0001
identität,36,0.0001,0.0036,0.0001,0.0001,0.0,0.0001,0.0032,0.0001,0.0001,0.0125
perspektive,34,0.0126,0.0,0.0001,0.0043,0.0107,0.0001,0.0001,0.0001,0.0001,0.0001
geschichte,34,0.0052,0.0001,0.0001,0.0001,0.0,0.0001,0.0054,0.0001,0.0125,0.0001
schuljahrgang,33,0.0001,0.0,0.0001,0.0001,0.0,0.003,0.0001,0.0001,0.0057,0.0171
entwicklung,33,0.0001,0.0023,0.0001,0.0001,0.0,0.0001,0.0115,0.0001,0.0001,0.0001
aristoteles,31,0.0018,0.0021,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0186,0.0003
relevanz,31,0.0001,0.0,0.0001,0.0001,0.0,0.0178,0.0001,0.0001,0.0001,0.0001
folge,30,0.0001,0.0001,0.0001,0.0105,0.0002,0.008,0.0001,0.0001,0.0001,0.0001
dauerhaft,29,0.011,0.0,0.0074,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
wichtig,29,0.0001,0.0028,0.0001,0.0001,0.0107,0.0013,0.0001,0.0001,0.0001,0.0001
proximum,28,0.0162,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
differentia,28,0.0162,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
specifica,28,0.0162,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
genus,28,0.0162,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
konkretisierung,28,0.0065,0.0001,0.0244,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
relevant,27,0.0001,0.0,0.0001,0.0001,0.0004,0.0149,0.0001,0.0001,0.0001,0.0001
gefühl,27,0.0103,0.0019,0.0001,0.0001,0.0,0.0014,0.0001,0.0001,0.0003,0.0001
geld,27,0.0001,0.002,0.0127,0.0001,0.0,0.0001,0.0001,0.0001,0.0143,0.0001
endlichkeit,26,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0201
stehen,26,0.0001,0.0045,0.0001,0.0001,0.0124,0.0001,0.0001,0.0001,0.0001,0.0001
wohlstand,25,0.0001,0.0,0.0001,0.0001,0.0,0.0138,0.0001,0.0001,0.0001,0.0001
kind,25,0.0001,0.0075,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0153,0.0001
darstellung,24,0.0001,0.0,0.0001,0.0151,0.0,0.0001,0.0001,0.0001,0.003,0.0001
frei,24,0.0001,0.0,0.0001,0.0001,0.0121,0.0047,0.0001,0.0001,0.0001,0.0001
freud,24,0.021,0.0,0.0001,0.0001,0.0043,0.0001,0.0001,0.0001,0.0001,0.0001
inhaltsbezogene,24,0.0049,0.0,0.0236,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
eher,23,0.0001,0.0,0.0167,0.0001,0.0023,0.0001,0.0001,0.0001,0.0001,0.0001
kompetenzerwerb,23,0.0001,0.0001,0.0001,0.0001,0.0,0.004,0.0001,0.0001,0.0001,0.0123
lebenskunst,23,0.0131,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
scheinbar,22,0.0001,0.0,0.0001,0.0001,0.0145,0.0001,0.0001,0.0001,0.0001,0.0001
tod,22,0.0001,0.0022,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0109
urteil,22,0.0006,0.0,0.0001,0.0104,0.0,0.0034,0.0001,0.0001,0.0001,0.0001
alter,21,0.0001,0.001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0139
schöpfung,21,0.0042,0.0,0.0137,0.0001,0.0,0.0001,0.0001,0.0001,0.005,0.0009
modern,20,0.0116,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
differenzierung,20,0.0116,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
lebensform,20,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.003,0.0001,0.0136,0.0001
leitthema,20,0.0001,0.0,0.0001,0.0001,0.0,0.0029,0.0001,0.0001,0.0001,0.0116
bzgl,19,0.0001,0.0,0.0294,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
provokation,19,0.0001,0.0,0.0001,0.0001,0.0132,0.0001,0.0001,0.0024,0.0137,0.0001
tugend,19,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0356,0.0001
kunst,19,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.018,0.0057,0.0001
essay,18,0.0001,0.0,0.014,0.0032,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
wertvorstellung,16,0.0001,0.0,0.0001,0.0001,0.0,0.0125,0.0001,0.0001,0.0001,0.0001
zentral,16,0.0012,0.0002,0.0001,0.0154,0.0,0.0001,0.0011,0.0001,0.0002,0.0001
epikur,15,0.0018,0.0011,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0186,0.0001
sucht,15,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0119
handlungsgrundsätz,15,0.0001,0.0,0.0001,0.0001,0.0,0.0119,0.0001,0.0001,0.0001,0.0001
anspruch,14,0.0002,0.0,0.0001,0.0047,0.0133,0.0001,0.0001,0.0001,0.0001,0.0001
gendersex,13,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0101
glücklichsein,13,0.0001,0.0,0.0137,0.0001,0.0018,0.0001,0.0001,0.0001,0.0001,0.0001
krankheit,13,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0101
religionsunterricht,12,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0118,0.0001
annemarie,10,0.0024,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.014,0.0001,0.0001
lusthaushalt,9,0.0001,0.0,0.0144,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
maß,9,0.0001,0.0,0.0001,0.0102,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
ausgewogen,9,0.0001,0.0,0.0144,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
zufallsglück,9,0.0001,0.0,0.0144,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
offenheit,8,0.0001,0.0,0.0137,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
reif,8,0.0001,0.0,0.0137,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
durchführ,8,0.0001,0.0,0.0001,0.0001,0.0,0.0001,0.001,0.014,0.0001,0.0001
gedankenexperiment,8,0.0001,0.0013,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0143,0.0001
