topic_id,"Ethik, Philo",Geschichte,Sozialkunde,total
1,56,0,0,56
2,159,0,3,162
3,32,0,0,32
4,57,0,0,57
5,92,2,0,94
6,49,0,0,49
7,92,0,0,92
8,53,0,0,53
9,30,0,0,30
10,36,0,0,36
