rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,politik,96,69.0332656251717,0.057655171842028424
2,sinn,80,30.77238932502959,0.025700470323360418
3,demokratisch,85,30.392491054057874,0.025383187055692185
4,kriterium,71,24.993653660637253,0.02087418846137774
5,norm,148,21.69608022894259,0.018120122560767376
6,stehen,45,20.761438594125853,0.017339528979135845
7,wert,295,19.88145476115811,0.01660458447595328
8,verteilungsgerechtigkeit,30,17.723942026313,0.014802673957127956
9,prozeß,39,17.633269846855733,0.014726946406930855
10,politisch,214,17.007989253353998,0.014204724841119794
11,gerichtsverhandlung,15,16.747355972139175,0.013987049254138536
12,diskussion,37,14.93107307539152,0.012470126918545887
13,öffentlich,36,13.93720703903304,0.011640070327780899
14,angelegenheit,11,13.461583720064962,0.011242839457433929
15,geben,16,13.266502378057561,0.01107991150965756
16,engagieren,12,13.246016005421902,0.011062801710142324
17,ungerecht,68,13.15450189949884,0.010986371000176897
18,handlung,31,13.096986670250974,0.010938335456793733
19,zivilgesellschaft,9,11.380386198707692,0.009504665844402587
20,gemeinwesen,11,11.053484445787815,0.00923164418492624
