Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
demokratie,normativ,norm,politisch,norm,norm,norm
gesellschaft,biologisch,fach,norm,gerechtigkeit,beitrag,aussage
kultur,sachverhalte,unterricht,verschieden,verantwortung,reflektieren,moralisch
welt,experiment,gesellschaftlich,unterschiedlich,verschieden,leitperspektive,datum
deutsch,norm,demokratisch,zusammenhang,ergebnis,mensch,werten
geschichte,erläutern,verstehen,information,kompetenz,entwicklung,entscheidung
religionsunterricht,deskriptiv,grundlage,sozial,leben,bne,beurteilen
leben,identifizieren,leben,beurteilen,beschreiben,gesellschaftlich,argument
deutschland,beschreiben,gesellschaft,gesellschaftlich,selbstbestimmung,nachhaltig,ethisch
thema,verhalten,wertvorstellung,beschreiben,freundschaft,bedeutung,analysieren
mensch,stellen,persönlich,historisch,ethik,bildung,handeln
politisch,phwert,entscheidung,bedeutung,interesse,frage,vergleich
ethik,bewertungsrelevant,kompetenz,erkennen,handeln,handeln,experiment
bezug,struktur,aspekt,handeln,form,welt,urteil
englisch,sachverhalt,reflektieren,erläutern,kriterium,grundlage,begründen
jugendliche,enzymaktivität,ethisch,medium,kompetenzbereich,umwelt,führen
konflikt,temperatur,europäisch,quelle,tier,toleranz,regel
moralvorstellung,abhängigkeit,relevant,reflektieren,umgang,entscheidungssituation,fachlich
rolle,evolution,sozial,mensch,diskutieren,ethik,funktion
demokratisch,adaptiv,handlungsoption,beispiel,bewerten,sinn,ethik
