subject,-1_leben_welt_religionen_aspekte,0_politische_geschichte_antike_wissenschaft,1_religionen_islam_beschreiben_welt,2_kulturelle_leben_ethik_vielfalt,3_beurteilen_historischen_erklren_verschiedenen epochen,4_englisch_musik_deutsch_grundsatzband,5_schlern_toleranz_lesen_erworben,6_zielen_interkulturellen bildung_erbe_werten,7_perspektiven_bereiche_thematische_medien,8_lernbereich_wahlbereich_ustd_groe,9_wahr_prgung_nehmen_kommunikation,entropy,subject_total,subject_proportion
Bio,0.1927,0.5505,0.0092,0.0459,0.0,0.0367,0.0367,0.0734,0.0275,0.0,0.0275,2.1097,109,0.0744
"Ethik, Philo",0.2945,0.1639,0.2637,0.1758,0.0214,0.019,0.0261,0.0048,0.0095,0.0048,0.0166,2.4951,421,0.2872
Geschichte,0.2972,0.4434,0.1368,0.0204,0.0283,0.022,0.0047,0.0079,0.0094,0.0252,0.0047,2.1395,636,0.4338
Psychologie,0.4615,0.5385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957,13,0.0089
Sozialkunde,0.1707,0.6655,0.0279,0.0244,0.0244,0.0244,0.0105,0.0209,0.0174,0.0,0.0139,1.7355,287,0.1958
TOTAL,0.2653,0.4154,0.1412,0.0675,0.0232,0.0225,0.0143,0.0143,0.0123,0.0123,0.0116,2.3508,1466,1.0
