topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_leben_welt_religionen_aspekte,0.054,0.3188,0.4859,0.0154,0.126,1.7284,389,0.2653
0_politische_geschichte_antike_wissenschaft,0.0985,0.1133,0.4631,0.0115,0.3136,1.7984,609,0.4154
1_religionen_islam_beschreiben_welt,0.0048,0.5362,0.4203,0.0,0.0386,1.2263,207,0.1412
2_kulturelle_leben_ethik_vielfalt,0.0505,0.7475,0.1313,0.0,0.0707,1.1863,99,0.0675
3_beurteilen_historischen_erklren_verschiedenen epochen,0.0,0.2647,0.5294,0.0,0.2059,1.4628,34,0.0232
4_englisch_musik_deutsch_grundsatzband,0.1212,0.2424,0.4242,0.0,0.2121,1.864,33,0.0225
5_schlern_toleranz_lesen_erworben,0.1905,0.5238,0.1429,0.0,0.1429,1.7464,21,0.0143
6_zielen_interkulturellen bildung_erbe_werten,0.381,0.0952,0.2381,0.0,0.2857,1.8628,21,0.0143
7_perspektiven_bereiche_thematische_medien,0.1667,0.2222,0.3333,0.0,0.2778,1.9547,18,0.0123
8_lernbereich_wahlbereich_ustd_groe,0.0,0.1111,0.8889,0.0,0.0,0.5033,18,0.0123
9_wahr_prgung_nehmen_kommunikation,0.1765,0.4118,0.1765,0.0,0.2353,1.9015,17,0.0116
TOTAL,0.0744,0.2872,0.4338,0.0089,0.1958,1.8394,1466,1.0
