rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,umfassend,18,12.061002406615822,0.0572175806621578
2,lernleistung,21,10.74691325574407,0.05098352154730119
3,ergebnis,15,7.947221071288186,0.03770173882371534
4,erbringen,11,7.418206189056443,0.035192084097258006
5,projekt,10,6.724943778286024,0.03190323657273218
6,führen,11,6.627982343704266,0.031443250037843755
7,land,14,6.134178600346698,0.029100637495014077
8,ökologisch,98,5.241345229412182,0.02486502227025549
9,beitrag,15,4.843299834930036,0.022976688805245178
10,gefördert,7,4.747444351294701,0.022521948918632892
11,nische,55,4.249057659848575,0.020157594799681513
12,umfang,6,4.090086784791639,0.01940343452677462
13,einbringen,6,4.090085154244714,0.019403426791434968
14,kurs,6,4.089887505856258,0.019402489144444444
15,mindestens,6,4.089528991850151,0.01940078834849305
16,rahmen,16,4.089436346241927,0.019400348836304687
17,gelten,6,4.089257153153253,0.01939949874153979
18,prozess,10,4.060875300194828,0.019264854795187587
19,beginn,5,3.4330061862118937,0.016286234074998518
20,fachübergreifend,14,3.4328984234154505,0.01628572284663706
