topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,14,0.1461,42,24.9595
2,19,0.1249,37,18.443
3,13,0.0856,28,21.9234
4,16,0.0786,25,14.9541
5,17,0.0716,19,30.279
6,12,0.0704,20,22.3859
7,11,0.059,9,15.4502
8,1,0.0538,14,22.2567
9,7,0.0513,14,16.3365
10,4,0.0463,11,23.674
11,6,0.043,8,59.4806
12,8,0.0406,13,29.5366
13,10,0.0403,9,35.2874
14,5,0.037,8,21.9518
15,2,0.0354,10,28.0626
16,9,0.0032,0,1.0759
17,15,0.0032,0,1.1107
18,18,0.0032,0,1.2096
19,3,0.0032,0,1.1281
20,20,0.0032,0,1.1217
