topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,9,170,12,0,2,193
2,0,151,2,0,2,155
3,2,127,1,1,0,131
4,4,125,0,0,3,132
5,0,56,1,1,9,67
6,1,111,3,2,8,125
7,1,97,0,1,0,99
8,3,95,5,2,1,106
9,1,101,6,0,2,110
10,4,142,0,0,0,146
