topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,1,0.1611,53,28.7024
2,9,0.151,53,28.607
3,5,0.1086,39,10.9747
4,2,0.1061,40,29.2238
5,7,0.087,32,22.9686
6,4,0.0869,31,19.1435
7,3,0.0848,30,26.2154
8,10,0.0768,29,17.7188
9,8,0.0715,24,17.3603
10,6,0.0661,23,24.8608
