topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,6,116,12,0,38,172
2,5,46,2,0,6,59
3,8,76,25,1,87,197
4,79,129,41,3,35,287
5,120,14,13,4,8,159
6,28,56,5,1,3,93
7,130,75,6,4,27,242
8,89,72,84,17,127,389
9,6,108,10,0,20,144
10,27,311,11,4,40,393
