term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
auseinandersetzung,124,0.0049,0.0,0.0001,0.0136,0.0048,0.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0089,0.0004,0.0,0.0001,0.0099,0.0086,0.0049,0.0
deutsch,123,0.0,0.0077,0.0001,0.0,0.0,0.0365,0.0,0.0,0.003,0.0,0.0002,0.0018,0.0,0.0001,0.0,0.0001,0.0041,0.0001,0.0,0.0
zusammenleben,121,0.0078,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0001,0.0118,0.0152,0.0,0.0001,0.0097,0.0
europa,118,0.0,0.0178,0.0001,0.0,0.0053,0.0,0.0,0.0044,0.0,0.0244,0.0,0.0016,0.0,0.0001,0.0,0.0001,0.0009,0.0001,0.0,0.0
interkulturell,114,0.0,0.0,0.0001,0.03,0.0,0.0,0.0,0.0,0.0187,0.0039,0.0085,0.0,0.0071,0.0016,0.0051,0.0001,0.0,0.0001,0.0,0.0
wert,111,0.0002,0.0,0.0001,0.0,0.0232,0.0,0.0,0.0,0.0141,0.0,0.0012,0.0,0.0,0.0001,0.012,0.0001,0.0028,0.0112,0.0,0.0
identität,108,0.0,0.0029,0.0404,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0121,0.0001,0.0001,0.0001,0.0013,0.0001,0.0018,0.0
inhalt,107,0.0,0.0015,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.0086,0.0025,0.0001,0.0,0.0001,0.0,0.0001,0.0148,0.0
mittelalter,105,0.0,0.0165,0.0001,0.0,0.005,0.0,0.0,0.0165,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
religiös,103,0.0034,0.0009,0.0001,0.0,0.0,0.0,0.0046,0.0,0.0,0.0139,0.0001,0.0,0.0019,0.0022,0.0,0.0001,0.0016,0.0363,0.0047,0.0
begriff,102,0.0,0.0,0.0067,0.0337,0.0074,0.0,0.0114,0.0,0.0,0.0,0.0036,0.0,0.0,0.0001,0.0,0.0153,0.0,0.0001,0.0,0.0
umwelt,101,0.0047,0.0046,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.0008,0.0,0.0001,0.0022,0.0001,0.0,0.0001,0.0026,0.0
darstellung,100,0.0,0.01,0.0001,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0001,0.0,0.0001,0.0065,0.0001,0.0,0.0
ethik,100,0.0149,0.0,0.0001,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0037,0.0,0.0,0.0001,0.0104,0.0001,0.0,0.0001,0.0,0.0
griechisch,98,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0371,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
politik,98,0.0024,0.0094,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0001,0.0,0.0001,0.0156,0.0001,0.0,0.0
ziel,98,0.0,0.0,0.0001,0.0,0.0105,0.0,0.0,0.0,0.0239,0.0,0.0,0.0022,0.0022,0.0001,0.0,0.0001,0.0017,0.0001,0.0159,0.0
entwickeln,98,0.0,0.0,0.0001,0.0,0.0121,0.0,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0047,0.0001,0.0062,0.0001,0.0028,0.0
technik,98,0.0023,0.0019,0.0001,0.0,0.0,0.0,0.0,0.0,0.0068,0.0028,0.0123,0.0018,0.0,0.0023,0.0081,0.0001,0.0,0.0001,0.0,0.0
medium,97,0.0057,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0102,0.0028,0.0,0.0001,0.0045,0.0001,0.0074,0.0001,0.0,0.0
zusammenhang,97,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0001,0.0,0.0558,0.0113,0.0001,0.0,0.0
revolution,97,0.0,0.0017,0.0001,0.0,0.0,0.0001,0.0,0.0092,0.0,0.0494,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0019,0.0001,0.0,0.0
möglichkeit,96,0.0054,0.0,0.0001,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0023,0.0038,0.0001,0.0078,0.0001,0.0049,0.0001,0.0,0.0158
demokratisch,96,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0372,0.0
dimension,94,0.0063,0.0169,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
ethisch,90,0.008,0.0,0.0064,0.0,0.0,0.0,0.0106,0.0,0.0001,0.0,0.0,0.0,0.0,0.0331,0.0047,0.0001,0.0,0.0001,0.0,0.0
sprache,89,0.0,0.0,0.0001,0.0,0.0062,0.0149,0.0,0.0,0.0,0.0,0.0099,0.005,0.0,0.0001,0.0061,0.0001,0.0,0.0001,0.0,0.0001
form,89,0.0,0.0015,0.0057,0.018,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0051,0.0114,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
menschlich,88,0.0123,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,0.014,0.0046,0.0001,0.0,0.0001,0.0,0.0006
mitin,86,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0071,0.0001,0.0,0.0001,0.0,0.0514
orientierung,86,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0171,0.0001,0.0052,0.0001,0.0065,0.0001,0.0,0.0
republik,86,0.0,0.0158,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0032,0.0001,0.0,0.0
alltag,85,0.009,0.0051,0.0001,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0071,0.0001,0.0017,0.0001,0.0,0.0
islam,85,0.0,0.006,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0243,0.0,0.0011,0.0,0.0001,0.0061,0.0001,0.0,0.0001,0.0,0.0
antike,84,0.0,0.002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0018
bereich,84,0.0,0.004,0.0094,0.0,0.0,0.0,0.0,0.0203,0.0,0.0,0.0112,0.0016,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
konflikt,84,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0001,0.0158,0.0001,0.0097,0.0001,0.0,0.0
kontext,84,0.0033,0.001,0.0063,0.0062,0.0,0.0,0.0018,0.0,0.0,0.0,0.0041,0.0,0.0,0.0001,0.0,0.0001,0.0017,0.0001,0.003,0.0265
antik,83,0.0,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0019,0.0,0.0096,0.0,0.0242,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
beitrag,83,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0078,0.0001,0.0,0.0001,0.0,0.0001,0.0252,0.0
global,80,0.0019,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0365,0.0,0.0,0.0,0.0001,0.0,0.0176,0.0,0.0022,0.0043,0.0
zentral,79,0.0,0.0,0.0087,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0022,0.0104,0.016,0.0,0.0001,0.007,0.0001,0.0012,0.0
land,78,0.0001,0.0,0.0293,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0001,0.0,0.0001,0.0095,0.0001,0.0,0.0
modern,77,0.0,0.0,0.0063,0.0,0.0119,0.0065,0.0,0.0052,0.0,0.0055,0.0,0.0,0.0,0.0079,0.0045,0.0001,0.0,0.0001,0.0019,0.0
römisch,76,0.0,0.0043,0.0001,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0214,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
französisch,75,0.0,0.0,0.0001,0.0,0.0,0.0199,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
fremd,75,0.0,0.0005,0.0001,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.004,0.0,0.0,0.0131,0.0069,0.0001,0.0,0.007,0.0,0.0
wandel,75,0.0,0.0065,0.0001,0.0,0.0,0.0,0.0,0.0291,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0014,0.0001,0.0,0.0
nehmen,74,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0027,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0095,0.0
verhältnis,73,0.0,0.0,0.0001,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0113,0.0,0.0,0.0157,0.0029,0.0001,0.0,0.0001,0.0006,0.0001
menschenrecht,72,0.0034,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0,0.0,0.0001,0.0,0.0001,0.0003,0.0393,0.0022,0.0
gegenwart,72,0.0,0.005,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0001,0.0,0.0001,0.0125,0.0001,0.0,0.0
unterschied,70,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0649,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
individuell,70,0.0067,0.0,0.01,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0001,0.0025,0.0001,0.0,0.0001,0.0,0.0
toleranz,70,0.0,0.0,0.0001,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0001,0.0138,0.0001,0.0,0.0001,0.0023,0.0
chance,69,0.011,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0028,0.0,0.0001,0.0,0.0001,0.0018,0.0001,0.0,0.0
weimarer,68,0.0,0.0142,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0006,0.0001,0.0,0.0
verantwortung,66,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0001,0.0033,0.0124,0.0,0.0001,0.0104,0.0001
wahrnehmen,66,0.002,0.0,0.0001,0.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0097,0.0001,0.0,0.032,0.0,0.0001,0.0013,0.0022
wirtschaftlich,66,0.012,0.0038,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0057,0.0
deutschland,65,0.0,0.009,0.0001,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0076,0.0
globalisierung,64,0.0069,0.0,0.0001,0.0,0.0282,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0
auswirkung,63,0.0,0.0,0.0001,0.0,0.0,0.0029,0.0,0.0245,0.0,0.0,0.0,0.0,0.0111,0.0001,0.0,0.0001,0.0,0.0001,0.0021,0.0
lernbereich,63,0.0,0.0087,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0012,0.0,0.0001,0.0,0.0001,0.0022,0.0
wissen,62,0.0,0.0,0.0001,0.0,0.0,0.0,0.0198,0.0,0.0,0.0,0.0,0.0078,0.0,0.0083,0.003,0.0001,0.0,0.0001,0.0,0.0
inhaltsbezogen,62,0.0079,0.0,0.0125,0.012,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0016,0.0001,0.0,0.0001,0.0,0.0
thema,60,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0216,0.0001,0.0,0.0001,0.0,0.0
