rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,ethik,231,109.457079308166,0.04389469418390363
2,mensch,486,106.47812869104365,0.04270006952231008
3,verantwortung,561,98.51959899086503,0.03950852421933951
4,natur,95,83.58296688420687,0.03351860650361691
5,gerechtigkeit,272,68.72226856200413,0.027559139904148877
6,welt,116,43.04187727820899,0.017260738658199725
7,anthropologie,66,38.34905641014809,0.01537881436271008
8,auseinandersetzung,81,37.812907203176266,0.015163806748531808
9,technik,82,34.644002094467965,0.01389300616145472
10,umgang,71,30.243537249505316,0.012128323055916712
11,leben,199,27.07857923638313,0.010859105340909319
12,ökologie,27,26.41424471340522,0.010592692598067666
13,philosophisch,104,25.529743418772235,0.010237988141502787
14,digital,40,24.81820736519221,0.009952646547609311
15,verschieden,150,24.366777922951808,0.009771613420853165
16,vorstellung,64,22.95542919157087,0.009205631564381459
17,glaube,26,22.89914101898743,0.009183058770211016
18,beziehung,55,22.786926668730853,0.00913805834978421
19,ethisch,153,22.73050302138407,0.009115431227256533
20,kommunikation,41,22.60222747500564,0.009063989914230979
