Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
gerecht,gerechtigkeit,gerechtigkeit,gerechtigkeit,gerechtigkeit
gerechtigkeit,verantwortung,wert,ethik,sozial
medium,freiheit,handeln,bezug,politisch
kommunikation,mensch,norm,sozial,gesellschaft
unterricht,beurteilen,gerecht,kompetenz,gesellschaftlich
fach,leben,moralisch,frage,gerecht
bildung,handeln,verschieden,gerecht,demokratie
gestalten,analysier,frage,gesellschaft,sozialstaat
begriff,verschieden,interesse,beitrag,wirtschaftlich
politisch,grundlage,leben,iii,prinzip
kompetenz,bedeutung,regel,freiheit,deutschland
ungerecht,natur,vorstellung,grundlage,unterschiedlich
einzeln,achtung,perspektive,sinn,problem
konflikt,beispiel,erschließen,bleiben,ökonomisch
welt,interpretieren,verantwortung,fachübergreifend,marktwirtschaft
unterschiedlich,beschreiben,wahlbereich,wert,beurteilen
afb,menschenrecht,einzeln,leitperspektive,freiheit
digital,diskutieren,kriterium,mensch,staat
gruppe,hinblick,bedeutung,inhalt,funktion
wirklichkeit,konflikt,ethik,religion,politik
