topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,5,68,53,3,196,325
2,30,20,40,9,41,140
3,0,7,136,1,173,317
4,11,17,135,0,97,260
5,217,7,0,4,7,235
