Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
konflikt,zusammenhang,international,revolution,verhalten
sozial,sachverhalt,krieg,historisch,genetisch
politisch,historisch,folge,gesellschaftlich,mensch
folge,modell,weltkrieg,folge,bedeutung
dar,begründen,deutschland,entwicklung,evolution
ökonomisch,wirkung,politisch,prozeß,funktion
gesellschaftlich,iii,demokratie,wandel,ultimat
entwicklung,darstellung,akteur,politisch,variabilität
auswirkung,theorie,europäisch,französisch,kommunikation
unterschiedlich,geeignet,deutsch,ereignis,entwicklung
gewalt,aussage,auswirkung,gesellschaft,organismus
wirtschaftlich,bestimmt,krise,verschieden,fortpflanzung
form,position,europa,auswirkung,proximat
stellen,niveau,aktuell,global,folge
bedeutung,struktur,jahrhundert,wirkung,selektion
gesellschaft,leistungskurs,konflikt,problem,veränderung
verschieden,geschichte,inhalt,frage,nennen
merkmal,text,staat,zusammenhang,menschlich
armut,material,bedeutung,form,endogen
deutschland,stellen,welt,interesse,rekombination
