topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,34,16,55,2,36,143
2,8,43,29,2,33,115
3,0,10,187,1,66,264
4,20,19,150,0,42,231
5,8,57,148,5,64,282
6,34,136,44,2,29,245
7,5,140,23,1,17,186
