Bundesland,Fach,Schulart,Klassenstufe(n),Jahr,Gesamtwortanzahl,Referenz,Dateiname
Bremen,Sozialkunde,Gym,Sek2,2008,3388,Landesinstitut für Schule Bremen (2008). Wirtschaftslehre - Bildungsplan für die gymnasiale Oberstufe,LP Bremen Wirtschaftslehre Gym Sek2 2008.pdf
Bremen,Sozialkunde,Gym,Sek2,2008,2943,Landesinstitut für Schule Bremen (2008). Politik- Bildungsplan für die gymnasiale Oberstufe,LP Bremen Politik Gym Sek2 2008.pdf
Bremen,Sozialkunde,Gym,Sek2,2009,2600,Landesinstitut für Schule Bremen (2009). Soziologie- Bildungsplan für die gymnasiale Oberstufe,LP Bremen Soziologie Gym Sek2 2009.pdf
Bremen,Sozialkunde,Oberschule,Sek1,2010,4601,"Landesinstitut für Schule Bremen (2010). Gesellschaft und Politik - Geographie, Geschichte, Politik - Bildungsplan für die Oberschule ",LP Bremen Gesellschaft und Politik Oberschule Sek1 2010.pdf
Hamburg,Bio,Gym,Sek1,2024,8214,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Gymnasium Sekundarstufe I. Biologie,LP Hamburg Bio Gym Sek1 2024.pdf
Hamburg,Bio,Gym,Sek2,2022,7490,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2022). Bildungsplan Gymnasium Sekundarstufe II. Biologie,LP Hamburg Bio Gym Sek2 2022.pdf
Hamburg,Bio,Stadtteilschule,5-11,2024,10069,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Stadtteilschule Klassenstufen 5 - 11. Biologie,LP Hamburg Bio Stadtteilschule 5-11 2024.pdf
Hamburg,Bio,Stadtteilschule,"5,6",2024,10459,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Stadtteilschule Jahrgangsstufen 5 - 6. Naturwisschenschaft/ Technik,"LP Hamburg NaWi 5,6 2023.pdf"
Hamburg,"Ethik, Philo",Gym,Sek1,2024,8374,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Bildungsplan Sekundarstufe 1. Philosophie.,LP Hamburg Philosophie Gym Sek1 2024.pdf
Hamburg,"Ethik, Philo",Stadtteilschule,5-11,2024,9352,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Stadtteilschule Jahrgangsstufen 5 -11. Philosophie,LP Hamburg Philosophie Stadtteilschule 5-11 2024.pdf
Hamburg,"Ethik, Philo",,Studienstufe,2022,6588,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2022). Bildungsplan Studienstufe. Philosophie,LP Hamburg Philosophie Studienstufe 2022.pdf
Hamburg,Geschichte,Gym,Sek1,2024,8600,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Gymnasium Sekundarstufe 1. Geschichte,LP Hamburg Geschichte Gym Sek1 2024.pdf
Hamburg,Geschichte,Gym,Sek2,2024,11200,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Studienstufe. Geschichte,LP Hamburg Geschichte Gym Sek2 2024.pdf
Hamburg,Geschichte,Stadtteilschule,5-11,2024,11329,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Stadtteilschule Klassenstufe 5 - 11. Geschichte,LP Hamburg Geschichte Stadtteilschule 5-11 2024.pdf
Hamburg,Psychologie,,Sek1,2024,6594,"Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Stadtteilschule Klassenstufe 5 - 11, Gymnasium Sekundarstufe 1. Psychologie",LP Hamburg Psychologie Sek1 2024.pdf
Hamburg,Psychologie,,Sek2,2024,9105,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Studienstufe. Psychologie,LP Hamburg Psychologie Sek2 2024.pdf
Hamburg,Sozialkunde,Gym,Sek1,2024,6318,"Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Gymnasium Sekundarstufe 1. Politik, Gesellschaft, Wirtschaft",LP Hamburg Politik Gesellschaft Wirtschaft Gym Sek1 2024.pdf
Hamburg,Sozialkunde,Gym,Sek1,2024,4653,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Gymnasium Sekundarstufe 1. Wirtschaft,LP Hamburg Wirtschaft Gym Sek1 2024.pdf
Hamburg,Sozialkunde,Gym,Sek2,2022,6754,"Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2022). Bildungsplan Studienstufe. Politik, Gesellschaft, Wirtschaft",LP Hamburg Politik Gesellschaft Wirtschaft Gym Sek2 2024.pdf
Hamburg,Sozialkunde,Gym,Sek2,2022,5929,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2022). Bildungsplan Studienstufe. Wirtschaft,LP Hamburg Wirtschaft Gym Sek2 2024.pdf
Hamburg,Sozialkunde,Stadtteilschule,5-11,2024,10287,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Stadtteilschule Klassenstufe 5 - 11. Gesellschaftswissenschaften,LP Hamburg Gesellschaftswissenschaften Stadtteilschule 5-11 2024.pdf
Hamburg,Sozialkunde,Stadtteilschule,5-11,2024,7788,"Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Stadtteilschule Klassenstufe 5 - 11. Politik, Gesellschaft, Wirtschaft",LP Hamburg Politik Gesellschaft Wirtschaft Stadtteilschule 5-11 2024.pdf
Hamburg,Sozialkunde,Stadtteilschule,Sek1,2024,5272,Freie und Hansestadt Hamburg Behörde für Schule und Berufsbildung (2024). Bildungsplan Stadtteilschule Sekundarstufe 1. Wirtschaft,LP Hamburg Wirtschaft Stadtteilschule Sek1 2024.pdf
Hessen,Bio,Gym,Sek1,2024,13466,Hessisches Kultusministerium (2024). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Gymnasium. Biologie.,LP Hessen Kerncurriculum Bio Gym Sek1 2024.pdf
Hessen,Bio,Gym,Sek2,2024,12184,Hessisches Kultusministerium (2024). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. gymnasiale Oberstufe – Gymnasium. Biologie.,LP Hessen Kerncurriculum Bio Gym Sek2 2024.pdf
Hessen,Bio,Hauptschule,,2024,13187,Hessisches Kultusministerium (2024). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Hauptschule. Biologie.,LP Hessen Kerncurriculum Bio Hauptschule 2024.pdf
Hessen,Bio,Realschule,,2024,13351,Hessisches Kultusministerium (2024). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Realschule. Biologie.,LP Hessen Kerncurriculum Bio Realschule 2024.pdf
Hessen,Bio,,Sek1,2011,14266,Hessisches Kultusministerium (2011). Maßgebliche Orientierungstexte zum Kerncurriculum. Sekundarstufe 1. Biologie.,LP Hessen Leitfaden Bio Sek1.pdf
Hessen,"Ethik, Philo",Gym,Sek1,o. J.,7986,Hessisches Kultusministerium (o. J.). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Gymnasium. Ethik.,LP Hessen Kerncurriculum Ethik Gym Sek1.pdf
Hessen,"Ethik, Philo",Gym,Sek2,2024,10441,Hessisches Kultusministerium (2024). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Gymnasiale Oberstufe – Gymnasium. Ethik.,LP Hessen Kerncurriculum Ethik Gym Sek2 2024.pdf
Hessen,"Ethik, Philo",Hauptschule,,o. J.,7851,Hessisches Kultusministerium (o. J.). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Hauptschule. Ethik.,LP Hessen Kerncurriculum Ethik Hauptschule.pdf
Hessen,"Ethik, Philo",Realschule,,o. J.,7989,Hessisches Kultusministerium (o. J.). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Realschule. Ethik.,LP Hessen Kerncurriculum Ethik Realschule.pdf
Hessen,"Ethik, Philo",,Sek1,o. J.,15723,Hessisches Kultusministerium (o. J.). Maßgebliche Orientierungstexte zum Kerncurriculum. Sekundarstufe 1. Ethik.,LP Hessen Kerncurriculum Ethik Leitfaden Sek1.pdf
Hessen,Geschichte,Gym,Sek1,2021,7599,Hessisches Kultusministerium (2021). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Gymnasium. Geschichte.,LP Hessen Geschichte Gym Sek1 2021.pdf
Hessen,Geschichte,Gym,Sek2,2024,13688,Hessisches Kultusministerium (2024). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Gymnasiale Oberstufe – Gymnasium. Geschichte.,LP Hessen Geschichte Gym Sek2 2024.pdf
Hessen,Geschichte,Hauptschule,,2021,7603,Hessisches Kultusministerium (2021). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Hauptschule. Geschite.,LP Hessen Geschichte Hauptschule 2021.pdf
Hessen,Geschichte,Realschule,,2021,8977,Hessisches Kultusministerium (2021). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Realschule. Geschichte.,LP Hessen Geschichte Realschule 2021.pdf
Hessen,Geschichte,,Sek1,2011,22105,Hessisches Kultusministerium (2011). Maßgebliche Orientierungstexte zum Kerncurriculum. Sekundarstufe 1. Geschichte.,LP Hessen Geschichte Leitfaden Sek1 2011.pdf
Hessen,Sozialkunde,Gym,Sek1,o. J.,10484,Hessisches Kultusministerium (o. J.). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Gymnasium. Politik und Wirtschaft.,LP Hessen Kerncurriculum Politik und Wirtschaft Gym Sek1.pdf
Hessen,Sozialkunde,Gym,Sek2,2024,14812,Hessisches Kultusministerium (2024). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Gymnasiale Oberstufe – Gymnasium. Politik und Wirtschaft.,LP Hessen Kerncurriculum Politik und Wirtschaft Gym Sek2 2024.pdf
Hessen,Sozialkunde,Gym,Sek2,2024,13888,Hessisches Kultusministerium (2024). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Gymnasiale Oberstufe – Gymnasium. Wirtschaftswissenschaften.,LP Hessen Kerncurriculum Wirtschaftswissenschaften Gym Sek2 2024.pdf
Hessen,Sozialkunde,Hauptschule,,o. J.,10321,Hessisches Kultusministerium (o. J.). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Hauptschule. Politik und Wirtschaft.,LP Hessen Kerncurriculum Politik und Wirtschaft Hauptschule.pdf
Hessen,Sozialkunde,Realschule,,o. J.,10306,Hessisches Kultusministerium (o. J.). Bildungsstandards und Inhaltsfelder Das neue Kerncurriculum für Hessen. Sekundarstufe I – Realschule. Politik und Wirtschaft.,LP Hessen Kerncurriculum Politik und Wirtschaft Realschule.pdf
Hessen,Sozialkunde,,Sek1,2011,22542,Hessisches Kultusministerium (2011). Maßgebliche Orientierungstexte zum Kerncurriculum. Sekundarstufe 1. Politik und Wirtschaft.,LP Hessen Leitfaden Politik und Wirtschaft Sek1.pdf
KMK,Bio,Regelschule,,2024,4795,Kultusministerkonferenz (2024). Weiterentwickelte Bildungsstandards in den Naturwissenschaften für das Fach Biologie (MSA).,KMK Bildungsstandards Bio Regelschule 2024.pdf
KMK,Bio,,,2020,10268,Kultusministerkonferenz (2020). Bildungsstandards im Fach Biologie für die Allgemeine Hochschulreife. ,KMK Bildungsstandards Bio AHR 2020.pdf
KMK,"Ethik, Philo",,,2006,17591,Kultusministerkonferenz (2006). Einheitliche Prüfungsnaforderungen in der Abiturprüfung Ethik. ,KMK Ethik EPA 2006.pdf
KMK,"Ethik, Philo",,,2006,15238,Kultusministerkonferenz (2006). Einheitliche Prüfungsanforderungen in der Abiturprüfun Philosophie. ,KMK Philosophie EPA 2006.pdf
KMK,Geschichte,,,2005,22949,Kultusministerkonferenz (2005). Einheitliche Prüfungsanforderungen in der Abiturprüfung Geschichte. ,KMK Geschichte EPA 2005.pdf
KMK,Psychologie,,,2006,17732,Kultusministerkonferenz (2006). Einheitliche Prüfungsanforderungen in der Abiturprüfung Psychologie. ,KMK Psychologie EPA 2006.pdf
KMK,Sozialkunde,,,2005,37193,Kultusministerkonferenz (2005). Einheitliche Prüfungsanforderungen in der Abiturprüfung Sozialkunde/ Politik. ,KMK Sozialkunde-Politik EPA 2005.pdf
KMK,Sozialkunde,,,2006,34140,Kultusministerkonferenz (2006). Einheitliche Prüfungsanforderungen in der Abiturprüfung Wirtschaft. ,KMK Wirtschaft EPA 2006.pdf
Mecklenburg-Vorpommern,Bio,Gym,Sek 1,2022,9078,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2022). Rahmenplan für den Sekundarbereich I. Gymnasium / Gesamtschule. Biologie 2022 – Erprobungsfassung,LP MeckPomm Bio Gym Sek 1 7-10 2022.pdf
Mecklenburg-Vorpommern,Bio,Gym,Sek 2,2022,10919,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2022). Rahmenplan für die Qualifikationsphase der gymnasialen Oberstufe. Gymnasium. Biologie 2022 – Erprobungsfassung,LP MeckPomm Bio Gym Sek 2 2022.pdf
Mecklenburg-Vorpommern,Bio,,7-10,2021,9012,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2021). Rahmenplan für den Sekundarbereich I. Gesamtschule. Biologie 2022 – Erprobungsfassung,LP MeckPomm Bio 7-10 2021.pdf
Mecklenburg-Vorpommern,Bio,,"5,6",2022,7635,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2022). Rahmenplan für Orientierungsstufe. Gymnasium / Gesamtschule. Biologie 2022 – Erprobungsfassung,"LP MeckPomm Bio Kl. 5,6 2022.pdf"
Mecklenburg-Vorpommern,"Ethik, Philo",Gym,Sek2,2019,9114,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2019). Rahmenplan für die Qualifikationspahse der gymnasialen Oberstufe. Gymnasium/ Gesamtschule. Philosophie 2019 ,LP MeckPomm Philosophie Gym Sek2 2019.pdf
Mecklenburg-Vorpommern,"Ethik, Philo",,5-6,o. J.,7750,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (o. J.). Rahmenplan für Orientierungsphase. Gesamtschule. Philospophie ,LP MeckPomm Philosophie 5-6.pdf
Mecklenburg-Vorpommern,"Ethik, Philo",,7-10,2002,13359,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2002). Rahmenplan. Regionale Schulen/ Verbundenen Haupt- und Realschulen/ Hauptschulen/ Realschulen/ Gymnasium / Integrierte Gesamtschule. Philosophie 2002 - Erprobungsfassung,LP MeckPomm Philosophie 7-10 2002.pdf
Mecklenburg-Vorpommern,Geschichte,Gym,7-10,2023,10384,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2023). Rahmenplan Geschichte Klasse 7 - 10. Gymnasium. Geschichte 2023 ,LP MeckPomm Geschichte Gym 7-10 2023.pdf
Mecklenburg-Vorpommern,Geschichte,Gym,Sek2,2019,7522,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2019). Rahmenplan für die Qualifikationsphase der gymnasialen Oberstufe. Gymnasium. Geschichte und Politik 2019 ,LP MeckPomm Geschichte Gym Sek2 2019.pdf
Mecklenburg-Vorpommern,Geschichte,Regionale Schule,7-10,2023,9889,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2023). Rahmenplan Geschichte Klasse 7 - 10. Gesamtschule. Geschichte 2023,LP MeckPomm Geschichte Regionale Schule 7-10 2023.pdf
Mecklenburg-Vorpommern,Geschichte,,"5,6",o. J.,6252,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (o. J.). Rahmenplan für die Orientierungsstufe. Gymnasium / Gesamtschule. Geschichte,"LP MeckPomm Geschichte 5,6.pdf"
Mecklenburg-Vorpommern,Sozialkunde,Gym,Sek2,2019,5314,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2019). Rahmenplan für die Qualifikationsphase der gymnasialen Oberstufe. Gymnasium. Sozialkunde 2019,Lp MeckPomm Sozialkunde Gym Sek2 2019.pdf
Mecklenburg-Vorpommern,Sozialkunde,,"5,6",o. J.,11789,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (o. J.). Rahmenplan Orientierungsstufe Klasse 5/6. Gesellschaftswissenschaft,"Lp MeckPomm Gesellschaftswissenschaften 5,6.pdf"
Mecklenburg-Vorpommern,Sozialkunde,,Sek1,2023,10636,Institut für Qualitätsentwicklung Mecklenburg-Vorpommern (2023). Rahmenplan Sozialkunde Klassenstufe 7 - 10. Gymnasium / Gesamtschule. Sozialkunde 2023,Lp MeckPomm Sozialkunde Sek1 2023.pdf
Niedersachsen,Bio,Gym,5-10,2015,12922,Niedersächsisches Kultusministerium (2015). Kerncurriculum für das Gymnasium. Schuljahrgänge 5-10. Naturwissenschaften.,LP Niedersachsen Bio Gym 5-10 2015.pdf
Niedersachsen,Bio,Gym,Sek2,2022,7012,"Niedersächsisches Kultusministerium (2022). Kerncurriculum für das Gymnasium, Gesamtschule, Abendgymnasium, Berufliches Gymnasium. Gymnasiale Oberstufe. Biologie.",LP Niedersachsen Bio Gym Sek2 2022.pdf
Niedersachsen,Bio,Hauptschule,5-10,2021,9110,Niedersächsisches Kultusministerium (2021). Kerncurriculum für die Hauptschule. Schuljahrgänge 5-10. Naturwissenschaften.,LP Niedersachsen Bio Hauptschule 5-10 2021.pdf
Niedersachsen,Bio,Oberschule,5-10,2021,9160,Niedersächsisches Kultusministerium (2021). Kerncurriculum für die Oberschule. Schuljahrgänge 5-10. Naturwissenschaften.,LP Niedersachsen Bio Oberschule 5-10 2021.pdf
Niedersachsen,"Ethik, Philo",Gesamtschule,,2017,8767,Niedersächsisches Kultusministerium (2017). Kerncurriculum für die integrierte Gesamtschule. Schuljahrgänge 5-10. Werte und Normen.,LP Niedersachsen Werte und Normen Gesamtschule 2017.pdf
Niedersachsen,"Ethik, Philo",Gym,Sek1,2017,8765,Niedersächsisches Kultusministerium (2017). Kerncurriculum für das Gymnasium. Schuljahrgänge 5-10. Werte und Normen.,LP Niedersachsen Werte und Normen Gym Sek1 2017.pdf
Niedersachsen,"Ethik, Philo",Gym,Sek2,2018,11656,Niedersächsisches Kultusministerium (2018). Kerncurriculum für das Gymnasium. Gymnasiale Oberstufe. Werte und Normen.,LP Niedersachsen Werte und Normen Gym Sek2 2018.pdf
Niedersachsen,"Ethik, Philo",Hauptschule,,2018,8675,Niedersächsisches Kultusministerium (2018). Kerncurriculum für die Hauptschule. Schuljahrgänge 5-10. Werte und Normen.,LP Niedersachsen Werte und Normen Hauptschule 2018.pdf
Niedersachsen,"Ethik, Philo",Oberschule.pdf,,2018,9125,Niedersächsisches Kultusministerium (2018). Kerncurriculum für die Oberschule. Schuljahrgänge 5-10. Werte und Normen.,LP Niedersachsen Werte und Normen Oberschule.pdf
Niedersachsen,"Ethik, Philo",Realschule,,2018,9012,Niedersächsisches Kultusministerium (2018). Kerncurriculum für die Realschule. Schuljahrgänge 5-10. Werte und Normen.,LP Niedersachsen Werte und Normen Realschule 2018.pdf
Niedersachsen,Geschichte,Gym,Sek1,2015,8399,Niedersächsisches Kultusministerium (2015). Kerncurriculum für das Gymnasium. Schuljahrgänge 5-10. Geschichte.,LP Niedersachsen Geschichte Gym Sek1 2015.pdf
Niedersachsen,Geschichte,Gym,Sek2,2018,14423,Niedersächsisches Kultusministerium (2017). Kerncurriculum für das Gymnasium. Gymnasiale Oberstufe. Geschichte.,LP Niedersachsen Geschichte Gym Sek2 2018.pdf
Niedersachsen,Geschichte,Hauptschule,,2014,7288,Niedersächsisches Kultusministerium (2014). Kerncurriculum für die Hauptschule. Schuljahrgänge 5-10. Geschichte.,LP Niedersachsen Geschichte Hauptschule 2014.pdf
Niedersachsen,Geschichte,Oberschule,,2013,9887,Niedersächsisches Kultusministerium (2013). Kerncurriculum für die Oberschule. Schuljahrgänge 5-10. Geschichte.,LP Niedersachsen Geschichte Oberschule 2015.pdf
Niedersachsen,Geschichte,Realschule,,2014,8645,Niedersächsisches Kultusministerium (2014). Kerncurriculum für die Realschule. Schuljahrgänge 5-10. Geschichte.,LP Niedersachsen Geschichte Realschule 2014.pdf
Niedersachsen,Sozialkunde,Gesamtschule,Sek1,2020,13072,Niedersächsisches Kultusministerium (2020). Kerncurriculum für ie integrierte Gesamtschule. Schuljahrgänge 5-10. Gesellschaftslehre.,LP Niedersachsen Gesellschaftslehre Integrierte Gesamtschule Sek1 2020.pdf
Niedersachsen,Sozialkunde,Gym,Sek1,2015,6578,Niedersächsisches Kultusministerium (2015). Kerncurriculum für das Gymnasium. Schuljahrgänge 8-10. Politik-Wirtschaft.,LP Niedersachsen Politik-Wirtschaft Gym Sek1 2015.pdf
Niedersachsen,Sozialkunde,Gym,Sek2,2018,8738,Niedersächsisches Kultusministerium (2018). Kerncurriculum für das Gymnasium. Gymnasiale Oberstufe. Poltik-Wirtschaft.,LP Niedersachsen Politik-Wirtschaft Gym Sek2 2018.pdf
Niedersachsen,Sozialkunde,Hauptschule,,2015,6526,Niedersächsisches Kultusministerium (2015). Kerncurriculum für die Hauptschule. Schuljahrgänge 5-10. Politik.,LP Niedersachsen Politik Hauptschule 2015.pdf
Niedersachsen,Sozialkunde,Oberschule,,2018,7531,Niedersächsisches Kultusministerium (2018). Kerncurriculum für die Oberschule. Schuljahrgänge 5-10. Politik.,LP Niedersachsen Politik Oberschule 2018.pdf
Niedersachsen,Sozialkunde,Realschule,,2015,6427,Niedersächsisches Kultusministerium (2015). Kerncurriculum für die Realschule. Schuljahrgänge 5-10. Politik.,LP Niedersachsen Politik Realschule 2015.pdf
Nordrhein-Westfalen,Bio,Gesamtschule,Sek1,2013,20459,"Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2013). Kernlehrplan für die Gesamtschule – Sekundarstufe I in Nordrhein-Westfalen. Naturwissenschaften Biologie, Chemie, Physik",LP NRW Bio Gesamtschule Sek1 2011.pdf
Nordrhein-Westfalen,Bio,Gym,Sek1,2019,8287,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2019). Kernlehrplan für das Gymnasium – Sekundarstufe I in Nordrhein-Westfalen. Biologie,LP NRW Bio Gym Sek1 2019.pdf
Nordrhein-Westfalen,Bio,Gym,Sek2,2022,12171,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2022). Kernlehrplan für das Gymnasium/  Gesamtschule – Sekundarstufe II in Nordrhein-Westfalen. Biologie,LP NRW Bio Gym Sek2 2022.pdf
Nordrhein-Westfalen,Bio,Hauptschule,,2011,13079,"Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2011). Kernlehrplan für die Hauptschule in Nordrhein-Westfalen. Naturwissenschaften Biologie, Chemie, Physik",LP NRW Bio Hauptschule 2011.pdf
Nordrhein-Westfalen,Bio,Realschule,,2011,10611,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2011). Kernlehrplan für die Realschule. Biologie.,LP NRW Bio Realschule 2011.pdf
Nordrhein-Westfalen,"Ethik, Philo",Gym,Sek2,2014,12612,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2014). Kernlehrplan für das Gymnasium/ die Gesamtschule – Sekundarstufe II in Nordrhein-Westfalen. Philosophie,LP NRW Philosphie Gym Sek2 2014.pdf
Nordrhein-Westfalen,"Ethik, Philo",,Sek1,2024,5764,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2024). Schulformübergreifender Kernlehrplan – Sekundarstufe I in Nordrhein-Westfalen. Praktische Philosophie,LP NRW Praktische Philosphie Sek1 2024.pdf
Nordrhein-Westfalen,Geschichte,Gesamtschule,,2020,17608,"Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2020). Kernlehrplan für die Gesamtschule – Sekundarstufe I in Nordrhein-Westfalen. Naturwissenschaften Biologie, Chemie, Physik",LP NRW Geschichte Gesamtschule 2020.pdf
Nordrhein-Westfalen,Geschichte,Gym,Sek1,2019,8007,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2019). Kernlehrplan für das Gymnasium – Sekundarstufe I in Nordrhein-Westfalen. Geschichte,LP NRW Geschichte Gym Sek1 2019.pdf
Nordrhein-Westfalen,Geschichte,Gym,Sek2,2014,13124,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2014). Kernlehrplan für das Gymnasium/ die Gesamtschule – Sekundarstufe II in Nordrhein-Westfalen. Geschichte,LP NRW Geschichte Gym Sek2 2014.pdf
Nordrhein-Westfalen,Geschichte,Hauptschule,,2022,8021,"Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2022). Kernlehrplan für die Sekundarstufe I Hauptschule in Nordrhein-Westfalen. Gesellschaftslehre Erdkunde, Geschichte, Politik",LP NRW Geschichte Hauptschule 2022.pdf
Nordrhein-Westfalen,Geschichte,Realschule,,2020,7522,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2020). Kernlehrplan für die Realschule – Sekundarstufe I in Nordrhein-Westfalen. Geschichte,LP NRW Geschichte Realschule 2020.pdf
Nordrhein-Westfalen,Psychologie,Gym,Sek2,2014,10111,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2014). Kernlehrplan für das Gymnasium/ die Gesamtschule – Sekundarstufe II in Nordrhein-Westfalen. Psychologie,LP NRW Psychologie Gym Sek2 2014.pdf
Nordrhein-Westfalen,Sozialkunde,Gesamtschule,,2020,17451,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2020). Kernlehrplan für die Gesamtschule – Sekundarstufe I in Nordrhein-Westfalen. Gesellschaftslehre,LP NRW Gesell-Wirtschaft-Poli Gesamtschule 2020.pdf
Nordrhein-Westfalen,Sozialkunde,Gym,Sek1,2019,7303,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2019). Kernlehrplan für das Gymnasium – Sekundarstufe I in Nordrhein-Westfalen. Wirtschaft-Politik,LP NRW Wirtschaft-Politik Gym Sek1 2019.pdf
Nordrhein-Westfalen,Sozialkunde,Gym,Sek2,2014,21200,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2014). Kernlehrplan für das Gymnasium – Sekundarstufe II in Nordrhein-Westfalen. Sozialwissenschaften/ Sozialwissenschaften/ Wirtschaft,LP NRW Sozialwissenschaften Gym Sek2 2014.pdf
Nordrhein-Westfalen,Sozialkunde,Hauptschule,,2022,6933,"Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2022). Kernlehrplan für die Hauptschule – Sekundarstufe I in Nordrhein-Westfalen. Gesellschaftslehre, Erdkunde, Geschichte, Politik",LP NRW Politik Hauptschule 2022.pdf
Nordrhein-Westfalen,Sozialkunde,Realschule,,2020,5845,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2020). Kernlehrplan für die Realschule – Sekundarstufe I in Nordrhein-Westfalen. Wirtschaft,LP NRW Wirtschaft Realschule 2020.pdf
Nordrhein-Westfalen,Sozialkunde,Realschule,,2020,5756,Ministerium für Schule und Weiterbildung des Landes Nordrhein-Westfalen (2020). Kernlehrplan für die Realschule – Sekundarstufe I in Nordrhein-Westfalen. Politik,LP NRW Politik Realschule 2020.pdf
