rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,mensch,697,323.47631856253315,0.07568057949822055
2,entwicklung,844,161.88271127408922,0.037874109160166564
3,kulturell,104,107.07659535068315,0.02505166011177294
4,evolutionstheorie,242,104.62798618345072,0.02447878305677152
5,organismus,254,83.92203098906742,0.019634413938380606
6,fossil,114,75.77323235076469,0.017727919497298846
7,bedeutung,166,74.13165897432944,0.017343856685623642
8,modern,75,74.09778346635723,0.017335931165494298
9,entstehung,269,73.74772766236401,0.01725403204465402
10,darwin,80,66.56140484794237,0.015572718625874104
11,beleg,161,65.59055572592439,0.015345578585186842
12,theorie,82,61.951642962473976,0.014494217880003844
13,ausgewählt,70,46.069296325805965,0.010778381114592265
14,verwandtschaft,254,44.45906262432574,0.010401650539083287
15,angepasstheit,213,43.49919103571374,0.010177078804148107
16,art,174,39.47216410765169,0.009234914837014423
17,kommunikation,152,38.00701574986051,0.008892128455429376
18,biologisch,214,37.480167408806984,0.008768866919822099
19,vergleich,56,35.94957798869758,0.008410769935157261
20,naturwissenschaftlich,71,35.64186749087894,0.008338777930004962
