term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
demokratie,3059,0.0105,0.055,0.0276,0.0467,0.0123
demokratisch,2269,0.033,0.0086,0.0269,0.0118,0.0492
politisch,2139,0.0258,0.0065,0.0206,0.0346,0.0177
deutschland,814,0.0,0.0199,0.0059,0.0134,0.0
gesellschaft,803,0.0168,0.0029,0.0034,0.0076,0.0086
gesellschaftlich,610,0.0143,0.0,0.003,0.0048,0.0085
entwicklung,562,0.0059,0.0055,0.0017,0.0084,0.0051
sozial,549,0.0069,0.0018,0.0042,0.008,0.0064
leben,469,0.0034,0.0003,0.0,0.0079,0.0125
politik,451,0.0098,0.0,0.003,0.0067,0.0016
bedeutung,412,0.0026,0.0038,0.0039,0.0084,0.0001
bundesrepublik,389,0.0,0.0021,0.0091,0.0082,0.0
republik,379,0.0,0.0197,0.0,0.0,0.0
möglichkeit,373,0.0022,0.0,0.0043,0.0068,0.0056
entwickeln,371,0.0012,0.0005,0.0019,0.0,0.0226
grundlage,352,0.0061,0.0002,0.0074,0.0038,0.0
system,352,0.0008,0.0016,0.0036,0.0082,0.0025
medium,344,0.0002,0.0004,0.0079,0.0084,0.0
fähigkeit,342,0.0022,0.0,0.0,0.0,0.0217
deutsch,338,0.0021,0.011,0.0,0.0027,0.0
weimarer,337,0.0,0.0174,0.0,0.0,0.0
form,335,0.0031,0.0014,0.006,0.005,0.0018
handeln,324,0.0115,0.0,0.0018,0.0015,0.0005
europa,313,0.0002,0.0117,0.0002,0.0032,0.0
europäisch,313,0.0,0.0029,0.0074,0.0056,0.0
erkennen,310,0.0,0.0015,0.0101,0.0,0.0094
fach,308,0.0135,0.0,0.0009,0.0,0.0
wert,294,0.0091,0.0,0.0045,0.0001,0.0016
herrschaft,293,0.0,0.0093,0.0027,0.0025,0.0001
herausforderung,290,0.0013,0.0005,0.0013,0.008,0.0009
bildung,289,0.0094,0.0,0.0,0.003,0.0001
historisch,288,0.0028,0.0058,0.0052,0.0009,0.0
partizipation,287,0.0004,0.0,0.0041,0.0073,0.0028
konflikt,286,0.0073,0.0,0.0,0.0031,0.0037
mensch,282,0.0036,0.0035,0.0,0.0003,0.009
inhalt,280,0.0007,0.0061,0.0034,0.0039,0.0
diktatur,277,0.0,0.0118,0.0,0.0016,0.0
freiheitlich,268,0.0,0.0,0.0009,0.0,0.0191
grundordnung,257,0.0003,0.0,0.0045,0.0009,0.0119
erläutern,255,0.0,0.0023,0.0,0.0077,0.0
aktiv,240,0.0038,0.0,0.0,0.0,0.0111
prozeß,240,0.0065,0.0,0.0026,0.0014,0.002
kultur,232,0.0066,0.0026,0.0,0.0012,0.0
international,232,0.0002,0.0025,0.0,0.0061,0.0013
revolution,225,0.0,0.0117,0.0,0.0,0.0
entscheidung,222,0.0076,0.0,0.0018,0.0,0.0031
wahl,220,0.0,0.0,0.0039,0.0062,0.0
aktuell,218,0.0003,0.0,0.0052,0.005,0.0
lernende,217,0.0095,0.0,0.0,0.0,0.0
reflektieren,215,0.0021,0.0,0.0028,0.0008,0.008
hintergrund,213,0.0001,0.0007,0.0016,0.0013,0.0099
bereitschaft,210,0.001,0.0,0.0,0.0,0.0139
verfassung,209,0.0011,0.0073,0.0002,0.0005,0.0021
verantwortung,203,0.0066,0.0008,0.0,0.0,0.0028
partei,189,0.0,0.0011,0.0,0.0063,0.0
ökonomisch,188,0.007,0.0,0.0,0.0,0.0034
position,186,0.0036,0.0,0.0003,0.0003,0.007
weltkrieg,183,0.0,0.0096,0.0,0.0,0.0
unterricht,181,0.0085,0.0,0.0,0.0,0.0
prinzip,177,0.0,0.0003,0.0055,0.0,0.0067
beitrag,176,0.0066,0.0,0.0,0.0009,0.0004
jugendliche,176,0.0005,0.0,0.0084,0.0016,0.0002
jahrhundert,173,0.0,0.0069,0.0,0.0014,0.0
nationalsozialismus,172,0.0,0.0092,0.0,0.0,0.0
rechtsstaat,167,0.0,0.0006,0.0062,0.0016,0.0013
diskutieren,161,0.0002,0.0,0.0055,0.0026,0.0
scheitern,131,0.0,0.0067,0.0,0.0,0.0
schwerpunkt,123,0.0,0.0009,0.0071,0.0,0.0
institution,122,0.0002,0.0,0.0079,0.0,0.0
krieg,116,0.0,0.0057,0.0,0.0002,0.0
kompetenzerwartunge,103,0.0,0.0002,0.0065,0.0,0.0
handlungsoption,97,0.0,0.0,0.0,0.0,0.007
idee,96,0.0,0.0,0.0063,0.0,0.0
entscheidungsfindung,93,0.0,0.0,0.0,0.0,0.0073
