term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
mensch,24,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0005,0.0274,0.0001,0.0004,0.0051,0.0008,0.0011
beziehung,23,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0157,0.0007,0.0293,0.0001,0.0001,0.0004,0.0002,0.0302,0.0011
entwickeln,22,0.0002,0.0004,0.0007,0.0001,0.0075,0.0001,0.0004,0.0007,0.0005,0.0525,0.0001,0.0121,0.0002,0.0003,0.0011
fähigkeit,22,0.0002,0.0004,0.0005,0.0001,0.0004,0.0001,0.0005,0.0072,0.0006,0.0018,0.0105,0.0004,0.0002,0.0312,0.0011
körperlich,22,0.0002,0.0004,0.0005,0.0001,0.0004,0.0019,0.0004,0.0007,0.0005,0.0001,0.0206,0.0004,0.0202,0.0001,0.0012
möglichkeit,22,0.0129,0.0237,0.0006,0.0001,0.0004,0.0001,0.0052,0.0007,0.0006,0.0085,0.0001,0.0004,0.0002,0.0001,0.0011
voraussetzung,22,0.0002,0.0004,0.0005,0.0001,0.0119,0.0001,0.0091,0.0007,0.0006,0.0001,0.0102,0.0004,0.0002,0.0284,0.0011
gruppe,21,0.0085,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0006,0.001,0.0001,0.0076,0.0002,0.0298,0.0011
handlung,21,0.0002,0.054,0.0005,0.0001,0.0047,0.0001,0.0004,0.0007,0.0205,0.0002,0.0001,0.0018,0.0012,0.0002,0.0011
psychologie,21,0.0228,0.0004,0.0005,0.0001,0.008,0.0001,0.0004,0.0007,0.0008,0.0001,0.0001,0.0201,0.0002,0.0001,0.0011
rolle,21,0.0002,0.0004,0.0144,0.0001,0.0004,0.0669,0.0176,0.0007,0.0005,0.0001,0.0001,0.0004,0.0002,0.0001,0.0421
berücksichtigen,20,0.0119,0.0004,0.0005,0.0001,0.0004,0.0001,0.0004,0.0007,0.0155,0.0056,0.001,0.0004,0.0084,0.0001,0.0011
