topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,4,0.3087,82,15.9172
2,2,0.2527,65,20.8605
3,1,0.2262,71,21.3754
4,3,0.1187,27,31.251
5,5,0.0937,22,18.2419
