term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
verhalten,1266,0.0628,0.0411,0.0383,0.0365,0.0293
verhaltensweise,347,0.0005,0.0,0.0193,0.011,0.0072
mensch,345,0.0008,0.0281,0.0171,0.0106,0.0079
sozial,276,0.0001,0.0,0.002,0.0151,0.0131
beschreiben,225,0.0198,0.0,0.0112,0.004,0.0012
verschieden,207,0.0006,0.0,0.0041,0.0098,0.0083
entwicklung,205,0.0003,0.0,0.01,0.0071,0.0052
menschlich,199,0.0001,0.0,0.0062,0.0108,0.0016
kompetenz,185,0.0017,0.0,0.0,0.0062,0.0195
erleben,172,0.0014,0.0,0.0001,0.013,0.0011
lernen,171,0.0292,0.0,0.0,0.0046,0.0004
erklären,160,0.0026,0.0,0.0129,0.0033,0.0
entwickeln,159,0.0106,0.0,0.0005,0.0047,0.0109
grundlage,154,0.0018,0.0,0.0062,0.0042,0.0083
handeln,153,0.0066,0.0,0.0,0.0084,0.0032
fähigkeit,149,0.0214,0.0,0.0,0.0,0.0136
reflektieren,148,0.0113,0.0283,0.0,0.0045,0.0059
erläutern,146,0.0125,0.0,0.0075,0.0012,0.0043
beurteilen,141,0.0001,0.0,0.0034,0.0083,0.001
psychologie,132,0.0003,0.0,0.0,0.0105,0.0
ursache,131,0.0001,0.0,0.0142,0.0,0.0025
psychologisch,125,0.0041,0.0,0.0001,0.0079,0.0024
kommunikation,120,0.0001,0.0,0.0105,0.0021,0.001
bedeutung,119,0.0001,0.0,0.0044,0.0061,0.0001
erkennen,115,0.0001,0.0,0.0,0.007,0.005
wert,114,0.0001,0.0,0.0067,0.0042,0.0
evolution,113,0.0001,0.0,0.0135,0.0,0.0
unterschiedlich,109,0.0007,0.0,0.0025,0.006,0.0019
möglichkeit,105,0.0001,0.0,0.0016,0.0038,0.0091
bewerten,101,0.0029,0.0,0.0001,0.0067,0.0001
einstellung,101,0.0113,0.0,0.0,0.0028,0.0047
angemessen,99,0.0072,0.0,0.0012,0.0,0.0127
bezug,99,0.0001,0.0,0.0025,0.006,0.0
tier,97,0.0001,0.0,0.011,0.0003,0.0
entscheidung,96,0.008,0.0,0.0,0.0051,0.0
politisch,95,0.0001,0.0,0.0,0.0033,0.0117
biologisch,89,0.0001,0.0,0.0074,0.002,0.0
thema,84,0.0001,0.0,0.0,0.0062,0.0008
gesellschaftlich,81,0.0001,0.0,0.0,0.006,0.0008
ultimat,77,0.0001,0.0,0.0092,0.0,0.0
lernende,77,0.0045,0.0,0.0,0.0011,0.009
proximat,72,0.0001,0.0,0.0086,0.0,0.0
situation,68,0.0012,0.0284,0.0,0.0024,0.0028
organismus,68,0.0001,0.0,0.0081,0.0,0.0
rolle,66,0.0008,0.0278,0.0,0.0033,0.001
verstehen,63,0.0001,0.0,0.0,0.002,0.0075
zeigen,63,0.0001,0.0,0.0013,0.001,0.0077
theorie,62,0.0083,0.0,0.0,0.0025,0.0002
interesse,59,0.0001,0.0488,0.0,0.0017,0.0
adaptiv,54,0.0001,0.0,0.0065,0.0,0.0
kostennutzenanalyse,53,0.0001,0.0,0.0063,0.0,0.0
konflikt,52,0.0001,0.0,0.0,0.0,0.0107
fitness,52,0.0001,0.0,0.0062,0.0,0.0
vertreten,51,0.0063,0.0385,0.0,0.0,0.0001
vorstellung,50,0.0063,0.0,0.0019,0.0007,0.0
meinung,45,0.0074,0.0,0.0,0.0,0.0036
handlungskompetenz,44,0.0001,0.0,0.0,0.0,0.0092
treffen,44,0.0089,0.0,0.0,0.0008,0.0
fachlich,43,0.0001,0.0,0.0013,0.0,0.0065
aggression,42,0.0064,0.0,0.0023,0.0,0.0001
demokratisch,42,0.0001,0.0311,0.0,0.0,0.0018
empathie,41,0.0001,0.0,0.0,0.0004,0.0071
einschätzen,40,0.0089,0.0,0.0,0.0,0.0013
positiv,37,0.0001,0.0,0.0,0.0,0.0072
kognitiv,36,0.01,0.0,0.0,0.0,0.0
position,31,0.0002,0.0458,0.0,0.0,0.0017
prosozial,31,0.0086,0.0,0.0,0.0,0.0
versetzen,30,0.0001,0.0272,0.0,0.0,0.0037
vertrauen,25,0.0067,0.0,0.0,0.0,0.0
denkweise,24,0.0001,0.0462,0.0,0.0,0.0
wertvorstellung,14,0.0001,0.0274,0.0,0.0,0.0
grundordnung,11,0.0001,0.0269,0.0,0.0,0.0
kontroverse,9,0.0001,0.0267,0.0,0.0,0.0
lebensstil,9,0.0001,0.0266,0.0,0.0,0.0
freiheitlich,9,0.0001,0.0266,0.0,0.0,0.0
alternativ,8,0.0001,0.0265,0.0,0.0,0.0
aufgreifen,8,0.0001,0.0265,0.0,0.0,0.0001
basieren,8,0.0001,0.0264,0.0,0.0,0.0
akzeptieren,7,0.0001,0.0262,0.0,0.0,0.0
