topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,total
1,164,1,0,0,165
2,70,0,0,0,70
3,12,1,0,0,13
4,33,13,0,0,46
5,62,0,0,0,62
6,9,1,0,0,10
7,90,0,0,0,90
8,81,1,0,0,82
9,166,0,0,0,166
10,62,4,8,0,74
11,16,7,6,1,30
12,270,6,0,1,277
