term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
klischee,126,0.0003,0.0002,0.0065,0.0002,0.01,0.0096,0.0011,0.0001,0.007,0.0002,0.0214,0.0991,0.0497,0.0138,0.0012
form,102,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.001,0.0001,0.0002,0.0002,0.0003,0.1012,0.0165,0.0294,0.0012
mensch,80,0.0003,0.0002,0.0003,0.0002,0.0094,0.0604,0.0232,0.0001,0.0096,0.0131,0.0003,0.0001,0.0002,0.041,0.1064
stereotyp,75,0.0008,0.0002,0.0002,0.0051,0.0002,0.0003,0.0011,0.0335,0.0002,0.0002,0.0003,0.0872,0.0001,0.0147,0.0012
sozial,68,0.0453,0.0002,0.0084,0.0002,0.0002,0.0363,0.0011,0.0001,0.0002,0.0003,0.0003,0.0001,0.0256,0.0207,0.0012
toleranz,67,0.0003,0.0002,0.0081,0.0002,0.0586,0.0003,0.0011,0.0001,0.0178,0.0002,0.0003,0.0169,0.0001,0.0091,0.0017
ursache,66,0.0003,0.0002,0.0002,0.0002,0.0002,0.0003,0.0011,0.0054,0.0002,0.0271,0.0003,0.0001,0.0275,0.0167,0.0012
wahrnehmung,62,0.0991,0.0002,0.0002,0.0002,0.0002,0.0234,0.001,0.0001,0.0002,0.0241,0.0003,0.0001,0.0011,0.0032,0.0012
folge,55,0.0003,0.0002,0.0002,0.0003,0.0002,0.0003,0.0011,0.0076,0.0002,0.0185,0.0003,0.0011,0.0451,0.0075,0.0012
urteil,54,0.0296,0.0051,0.0002,0.0002,0.0002,0.0527,0.001,0.0001,0.0002,0.038,0.0144,0.0001,0.0002,0.0001,0.0257
möglichkeit,52,0.0003,0.0002,0.0085,0.0253,0.0044,0.0194,0.001,0.0001,0.0202,0.0002,0.0003,0.0001,0.0085,0.0104,0.0015
kritisch,48,0.0005,0.0583,0.0002,0.0002,0.0259,0.0003,0.0011,0.0001,0.0002,0.0072,0.0175,0.0001,0.0001,0.0006,0.0012
medium,46,0.0003,0.0124,0.0099,0.0003,0.0002,0.0003,0.0011,0.0001,0.0002,0.0143,0.0003,0.0001,0.0212,0.0219,0.0012
unterschiedlich,46,0.0003,0.0002,0.0066,0.0002,0.0176,0.0003,0.001,0.0217,0.0002,0.0002,0.0003,0.0002,0.0239,0.0078,0.0012
