term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
grundrecht,13,0.0002,0.003,0.0144,0.0002,0.0001,0.0002,0.0003
kennen,13,0.0002,0.0001,0.0001,0.0203,0.0001,0.0002,0.0003
rassismus,13,0.0002,0.0001,0.0007,0.0002,0.0235,0.0002,0.0002
sexuell,13,0.0002,0.0001,0.0001,0.0002,0.0001,0.0144,0.0002
theorie,13,0.0002,0.0001,0.0018,0.0002,0.0199,0.0002,0.0003
vielfalt,13,0.0002,0.0137,0.0009,0.0003,0.0001,0.0002,0.0003
wertmaßstäbe,13,0.0002,0.0001,0.0001,0.0002,0.0001,0.0115,0.0003
medial,12,0.0047,0.002,0.0142,0.0003,0.0001,0.0002,0.0003
negativ,12,0.0002,0.0001,0.0001,0.0003,0.0002,0.0002,0.0146
regel,12,0.0102,0.0001,0.0001,0.0061,0.0001,0.0002,0.0003
weltanschauung,12,0.0149,0.0001,0.0001,0.0003,0.0001,0.0002,0.0003
benennen,11,0.0002,0.0114,0.0001,0.0003,0.0002,0.0002,0.0003
bild,11,0.0002,0.0001,0.0107,0.0073,0.0001,0.0019,0.0003
fach,11,0.0002,0.0119,0.0001,0.0003,0.0001,0.0028,0.0003
gegenseitig,11,0.0002,0.0001,0.0001,0.0003,0.0001,0.0002,0.0134
identität,11,0.011,0.0018,0.0001,0.0003,0.0012,0.002,0.0003
orientierungskompetenz,11,0.0002,0.0001,0.0001,0.0002,0.0001,0.0162,0.0003
persönlich,11,0.0002,0.0122,0.0001,0.0003,0.0001,0.0002,0.003
wirtschaftlich,11,0.0047,0.0001,0.0001,0.0002,0.0246,0.0002,0.0002
ermitteln,10,0.0002,0.0001,0.0001,0.0002,0.0267,0.0002,0.0002
kennenlernen,10,0.0002,0.0001,0.0001,0.0003,0.0001,0.0002,0.0122
nationalsozialismus,10,0.0002,0.0001,0.0136,0.0002,0.0001,0.0002,0.0002
positiv,10,0.0002,0.0001,0.0001,0.0003,0.0001,0.0002,0.0123
schuljahrgang,10,0.0094,0.0001,0.0001,0.0003,0.0001,0.0002,0.0003
setzen,10,0.0002,0.0001,0.0029,0.0002,0.0002,0.0123,0.0002
tolerant,10,0.0094,0.0001,0.0001,0.0002,0.0001,0.0002,0.0003
wissenschaftlich,10,0.0002,0.0001,0.0001,0.0002,0.0204,0.0002,0.0002
demokratie,9,0.0002,0.0003,0.0146,0.0002,0.0001,0.0002,0.0002
verantwortung,9,0.0002,0.0001,0.0001,0.011,0.0001,0.0002,0.0002
vorurteilen,9,0.0002,0.017,0.0001,0.0002,0.0001,0.0002,0.0003
