topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,total
1,80,4,0,0,84
2,74,0,0,0,74
3,3,1,1,0,5
4,31,0,0,0,31
5,54,1,0,0,55
6,7,0,2,0,9
7,54,0,0,0,54
8,44,0,0,0,44
9,189,8,0,1,198
10,2,4,11,0,17
11,5,7,0,0,12
12,152,1,0,0,153
13,77,0,0,0,77
14,9,1,0,0,10
15,15,0,0,0,15
16,32,6,0,1,39
17,55,0,0,0,55
18,81,0,0,0,81
19,6,1,0,0,7
20,65,0,0,0,65
