topic_id,"Ethik, Philo",Geschichte,Sozialkunde,total
1,14,0,0,14
2,115,0,2,117
3,50,0,0,50
4,43,0,1,44
5,101,1,0,102
6,74,0,0,74
7,68,0,0,68
8,23,0,0,23
9,24,0,0,24
10,48,1,0,49
11,41,0,0,41
12,55,0,0,55
