subject,0_wettbewerb_konkurrenz_marktwirtschaft_bedeutung,1_konkurrenz_kologische_beziehungen_nische,entropy,subject_total,subject_proportion
Bio,0.0833,0.9167,0.4138,72,0.2687
"Ethik, Philo",0.9048,0.0952,0.4537,21,0.0784
Geschichte,1.0,0.0,0.0,34,0.1269
Psychologie,1.0,0.0,0.0,2,0.0075
Sozialkunde,1.0,0.0,0.0,139,0.5187
TOTAL,0.7463,0.2537,0.8171,268,1.0
