topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,29,211,22,2,107,371
2,9,20,10,1,19,59
3,95,109,28,0,79,311
4,25,44,8,1,23,101
5,8,20,11,1,13,53
6,12,23,21,1,266,323
7,22,82,55,3,89,251
8,15,26,9,2,25,77
9,11,129,34,4,67,245
10,6,16,5,1,29,57
11,0,34,3,0,14,51
12,2,48,1,0,14,65
13,10,50,5,0,35,100
14,61,99,55,11,152,378
15,8,138,1,0,16,163
16,6,36,19,0,19,80
17,8,210,6,4,79,307
18,10,237,8,0,21,276
19,36,42,136,2,170,386
20,54,66,15,3,57,195
