term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
ziel,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0269,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0097
zusammenhang,321,0.003,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0032,0.0,0.0,0.0027,0.0,0.0,0.005,0.0006,0.0096,0.0139
wissen,309,0.0,0.0,0.0,0.0088,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0009,0.0068,0.0,0.026
kontext,306,0.0029,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0053,0.0022,0.0242,0.0,0.0001,0.0045,0.0068,0.0
perspektive,304,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0027,0.0169,0.0,0.0,0.0,0.0077,0.0,0.0116,0.0,0.0,0.0072,0.0049,0.0
begründen,292,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0186,0.0,0.0065,0.0017,0.0,0.0
inhalt,283,0.0126,0.0,0.0,0.0,0.0008,0.0059,0.0,0.0,0.0,0.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189
konflikt,282,0.0,0.0,0.0121,0.0,0.0,0.0055,0.0,0.0,0.0089,0.0051,0.0,0.0,0.0028,0.0062,0.0,0.0,0.0,0.0,0.0,0.0
verantwortlich,273,0.0049,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0.0175,0.0105,0.0,0.0
prozeß,270,0.0,0.0,0.0,0.0005,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329
sinn,268,0.0015,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0188
problem,265,0.0063,0.0,0.0,0.0,0.0,0.013,0.0016,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0039,0.0031,0.0,0.0
urteil,262,0.0,0.0188,0.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0096,0.0055,0.0,0.0
individuell,262,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0187,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natur,262,0.0057,0.0,0.0162,0.001,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0136,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
demokratisch,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umgang,245,0.0,0.0,0.0101,0.007,0.0,0.0,0.0086,0.0,0.0034,0.0,0.0,0.0,0.0031,0.0,0.0011,0.0018,0.0001,0.0,0.0,0.0069
form,241,0.0,0.0204,0.0054,0.0,0.0,0.0002,0.0,0.0,0.008,0.0,0.0,0.0,0.0039,0.0013,0.0,0.0,0.0069,0.0,0.0028,0.0
regel,235,0.0,0.0,0.0,0.0,0.0,0.0011,0.0071,0.0,0.0065,0.0172,0.0,0.0,0.0,0.0,0.0023,0.0,0.0072,0.0,0.0007,0.0055
orientierung,234,0.0,0.0,0.0,0.0044,0.0,0.0,0.0202,0.0,0.0,0.014,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0021,0.0
politik,232,0.0,0.0,0.0,0.0,0.0,0.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0
medium,229,0.0,0.0,0.0113,0.0,0.0,0.0032,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akteur,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0281,0.0
interesse,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0187,0.0
gerechtigkeit,226,0.0,0.0,0.0079,0.0,0.0,0.0025,0.0,0.0,0.0028,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,0.0112,0.0,0.0,0.0
dimension,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254,0.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0207,0.0,0.0
grenze,223,0.0077,0.0039,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0024,0.0121,0.0
position,221,0.0,0.0,0.0006,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0052,0.0,0.0118,0.0,0.0037,0.0
kulturell,221,0.0,0.0,0.0,0.0,0.0,0.0022,0.0148,0.0,0.0072,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0
verstehen,217,0.0031,0.0,0.0,0.0,0.0141,0.0,0.0049,0.0,0.0058,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0024,0.0,0.004
auseinandersetzung,213,0.0059,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0064,0.0,0.0,0.0012,0.0091,0.0,0.0
stellen,213,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0056,0.0,0.0,0.0,0.0063,0.0039,0.0,0.0,0.0,0.0006,0.0026,0.0149
struktur,213,0.0074,0.0,0.0001,0.0,0.0,0.0,0.0031,0.0,0.0014,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0011,0.0011,0.0126,0.0
relevanz,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0065,0.0,0.0331,0.0,0.0,0.0,0.0,0.0
grundlegend,206,0.0,0.0,0.0,0.0027,0.0065,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0,0.0,0.0
relevant,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0339,0.0,0.0013,0.0,0.0,0.0
beitrag,196,0.0036,0.0,0.0,0.0,0.0,0.0054,0.0133,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0053
zentral,196,0.0,0.0,0.0,0.0169,0.0,0.0001,0.0,0.0,0.0063,0.0137,0.0076,0.0,0.0042,0.0,0.0,0.0,0.0037,0.0,0.0,0.0
global,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.0
persönlich,192,0.0032,0.0,0.0002,0.0,0.0109,0.0023,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.0,0.0
wirtschaft,190,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
begriff,189,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0259,0.0,0.0,0.0,0.0063,0.0,0.0,0.0
geschichte,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.015,0.0
aufgabe,187,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.005,0.0,0.0
bereich,184,0.0,0.0,0.0,0.0,0.0338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0055,0.0001,0.0
rolle,180,0.0,0.0,0.01,0.0116,0.0,0.0011,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0029,0.0,0.0002
ökologisch,180,0.0,0.0,0.0007,0.0,0.0,0.0203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0
konsequenz,179,0.0113,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0047,0.0,0.0,0.0037
bne,177,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
voraussetzung,177,0.0057,0.0,0.0,0.0,0.0019,0.0,0.0033,0.0252,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0
auswirkung,174,0.011,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0
wertvorstellung,173,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0079,0.0,0.0,0.0012,0.021,0.0,0.0,0.002,0.0,0.0
kriterium,170,0.0,0.0,0.0122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0019,0.0055,0.0
rechtlich,167,0.0,0.0,0.0005,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0008
