Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
verantwortung,argument,welt,pflicht,europäisch,politisch,demokratisch,sozial,gesellschaft,klassenstuf,religion,bleiben,motiv,fähigkeit,situation,konsum,frage,wert,historisch,prozeß
mensch,überprüfen,mensch,fachlich,bereich,wirtschaftlich,welt,marktwirtschaft,folge,unternehmerisch,schulisch,motiv,begriff,entwickeln,ethisch,national,ethisch,norm,entwicklung,wissen
freiheit,orientierungskompetenz,bne,zentral,lage,ökonomisch,digital,ziel,entscheidung,konzept,analysekompetenz,person,eigentum,entscheidung,relevant,gemeinschaft,verantwortlich,moralisch,akteur,lernbereich
stehen,text,umwelt,kompetenzbereiche,mensch,gesellschaftlich,orientierung,entwicklung,individuell,bilden,religiös,denken,antrieb,lernen,relevanz,gestaltung,ethik,ethik,nachhaltig,naturwissenschaftlich
menschlich,wahrnehmung,verantwortung,diskussion,ausgewählt,politik,medium,dimension,sozial,förderung,erproben,entscheiden,miteinander,treffen,kontext,räumlich,ethikunterricht,ethisch,global,information
system,form,bedeutung,darstellung,schutz,sozial,individuell,voraussetzung,perspektive,inhalt,wandel,fachinterne,motivation,vertreten,wertvorstellung,nationalsozialismus,philosophisch,dimension,interesse,inhalt
staat,begründen,nachhaltigkeit,welt,versetzen,wirtschaft,kulturell,erwerb,wahrnehmen,beachtung,jugendliche,leer,funktion,angemessen,gesellschaftlich,projekt,grundlegend,gewissen,möglichkeit,sinn
inhalt,wohlstand,natur,digital,geben,ökologisch,beitrag,selbstbestimmen,menschlich,kompetenzentwicklung,minderheitenschutz,sprache,definieren,selbstständig,begründen,leben,spannungsfeld,leben,inhaltsfeld,gegenstand
konsequenz,urteil,kommunikation,fallbeispiele,aspekt,international,vielfalt,jung,berücksichtigung,regel,bild,entscheidung,einflussfaktor,einstellung,motiv,sinnvoll,position,fördern,geschichte,stellen
auswirkung,deutsch,medial,rolle,koordination,gesellschaft,möglichkeit,allgemein,gesellschaftlich,umsetzen,legitimation,einfach,leistung,übernehmen,folge,lassen,moralisch,menschlich,erörtern,veränderung
denken,sozialwissenschaftlich,arbeit,begriff,umfasst,wirtschaftspolitik,gesellschaftlich,wirtschaftlich,ziel,beurteilungskompetenz,geo,stehen,leiten,aufgabe,bedürfnis,sparen,gerechtigkeit,privat,unternehmen,ergebnis
frei,analyse,kriterium,inhaltlich,sachlich,problem,grundlegend,allgemeinbildung,bedeutung,zielkonflikt,kind,gestalten,natur,planen,sozial,fall,rechtlich,sowohl,struktur,dar
ungleichheit,folge,konflikt,datum,zusammenarbeit,rechtlich,interkulturell,insbesondere,vergangenheit,orientierung,raumwirksamkeit,lässt,schriftlich,begründen,identifizieren,wachstum,moral,verantwortlich,grenze,zusammenhang
notwendigkeit,auswert,medium,entlang,verstehen,nachhaltig,unterschiedlich,beruflich,unterschied,bearbeitung,wechselwirkung,individuum,emotional,meinung,fremd,komplexität,urteil,vorstellung,aktuell,frage
fachübergreifend,darstellung,bürger,tragen,kognitiv,entwicklung,lernen,gymnasial,solidarität,zentral,legitimität,ethik,respekt,personal,verschieden,verbraucherrecht,verschieden,entwickeln,schwerpunkt,unternehmen
erkenntnis,sprechen,eth,einzeln,kompetenzerwerb,demokratie,nutzen,erziehung,leben,gebot,sozialisation,bundespolitik,moralisch,bereich,aussage,gelegenheit,gerecht,auseinandersetzung,mensch,kenntnis
verhältnis,methodisch,umgang,leben,dokumentieren,entscheidung,urteil,sozialkompetenz,gruppe,extern,überblick,fachbegriffe,wirken,interesse,glück,erfassen,theorie,insbesondere,gegenwärtig,ebene
mittelpunkt,korrekt,rolle,kontrovers,standard,mündig,prozeß,verbinden,einzeln,gesellschaftswissenschaftlich,herrschaft,aufgrund,inhaltsbezogen,methode,sachverhalt,wirtschaftssystem,regel,toleranz,verbraucher,themenfeld
sozial,adressatengerechen,haushalt,internet,schuljahrgang,notwendig,leben,eigenverantwortlich,untersuchen,markt,erfahrung,verwendung,straftat,einschätzen,persönlich,zeigen,begründung,normativ,zusammenhang,wertorientiert
grenze,normativ,nachhaltig,anregung,anteil,gegenwart,sinn,lernjahr,beziehung,besuch,weltanschauung,alternative,ideologie,wirksamkeit,prüfen,erfolg,ebene,situation,herausforderung,ziel
