subject,-1_dtn_ggf_gen gen_christentum,0_gott_gottes_berufung_erkennen,1_gen gen_dtn_berufung awraham_lev gen,2_gottes_bibel_naturwissenschaft_biblische,3_beschreiben_bedeutung_inhalte_lebens,entropy,subject_total,subject_proportion
Bio,0.0132,0.0071,0.0061,0.0102,0.9634,0.2972,984,0.8248
"Ethik, Philo",0.1512,0.0814,0.0698,0.1163,0.5814,1.7905,86,0.0721
Geschichte,0.0,0.0,0.0,0.0,1.0,0.0,25,0.021
"Psychologie, Gesundheit",0.0,0.0,0.0,0.0,1.0,0.0,10,0.0084
Sozialkunde,0.1477,0.0795,0.0682,0.1136,0.5909,1.7673,88,0.0738
TOTAL,0.0327,0.0176,0.0151,0.0251,0.9095,0.6133,1193,1.0
