subject,-1_angebote_nutzen_einzelnen_bildung,0_komplexe_dienen_lerngruppe_arbeitstechniken,1_frdern_lernarrangements_arbeitsformen_lern,2_teamfhigkeit_kooperation teamfhigkeit_gegenber_arbeiten,3_medien_schlern_kooperatives_informationen,4_bewertung_leistungen_leistung_gruppe,5_kommunikation_kommunikation kooperation_welt_themen,6_kooperationen_fachlichen_schritten_darzustellen interdisziplinre,7_sozialkompetenz_methodenkompetenz_kommunikation_verhalten,entropy,subject_total,subject_proportion
Bio,0.18,0.02,0.03,0.09,0.1,0.1,0.12,0.05,0.31,2.7939,100,0.1757
"Ethik, Philo",0.1477,0.0682,0.0568,0.1023,0.0568,0.0909,0.3409,0.0568,0.0795,2.8477,88,0.1547
Geschichte,0.1066,0.0328,0.0164,0.1066,0.0246,0.0492,0.541,0.0656,0.0574,2.2663,122,0.2144
Psychologie,0.3043,0.0,0.0435,0.0435,0.0,0.0,0.1304,0.0,0.4783,1.8079,23,0.0404
Sozialkunde,0.1017,0.0297,0.0254,0.0551,0.0424,0.0466,0.6356,0.0339,0.0297,1.982,236,0.4148
TOTAL,0.1318,0.0334,0.0299,0.0791,0.0492,0.0615,0.4587,0.0457,0.1107,2.5219,569,1.0
