,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities
0,angebote,0.0931,komplexe,0.1861,frdern,0.1942,teamfhigkeit,0.13,medien,0.2233,bewertung,0.1558,kommunikation,0.0455,kooperationen,0.0747,sozialkompetenz,0.0811
1,nutzen,0.0894,dienen,0.1798,lernarrangements,0.1707,kooperation teamfhigkeit,0.1137,schlern,0.0892,leistungen,0.1505,kommunikation kooperation,0.0452,fachlichen,0.0505,methodenkompetenz,0.0588
2,einzelnen,0.0821,lerngruppe,0.1798,arbeitsformen,0.1621,gegenber,0.1093,kooperatives,0.0845,leistung,0.1498,welt,0.0449,schritten,0.049,kommunikation,0.0536
3,bildung,0.0666,arbeitstechniken,0.1798,lern,0.1432,arbeiten,0.1045,informationen,0.0834,gruppe,0.1318,themen,0.0369,darzustellen interdisziplinre,0.049,verhalten,0.0489
4,klasse,0.0644,teilnahme,0.1778,individuellen,0.1269,bernehmen,0.0882,wahrnehmung,0.0786,kooperativen arbeitsformen,0.1236,chancen,0.0352,wahrnehmungen,0.049,auseinandersetzung,0.045
5,frderung,0.0625,erweiterung,0.1742,kooperative,0.1237,entwickeln,0.0821,individuelle,0.0737,bercksichtigt,0.122,entwicklung,0.034,eigene wahrnehmungen,0.049,kommunikation kooperation,0.044
6,schule,0.0598,aktive,0.1692,sowohl,0.1215,gesellschaftliche,0.0786,untersttzen,0.0718,neben,0.1206,konflikte,0.0339,sowohl erreichen,0.049,kontext,0.0409
7,zugeordnet,0.0582,lassen,0.1677,einsatz,0.1212,verantwortung,0.0765,medienkompetenz,0.0711,grundstze,0.1196,prsentieren,0.0318,entstehen mglichkeiten,0.049,sozialen,0.0403
8,digitale,0.0563,kooperation kommunikation,0.1677,individueller,0.1035,fertigkeiten,0.0743,aktive,0.0707,partner,0.1194,handeln,0.0318,lernen kooperationen,0.049,berfachliche,0.0398
9,beurteilen,0.0549,fragestellungen,0.1674,medien,0.0992,fhigkeiten fertigkeiten,0.0743,frdern,0.0683,ergebnisse,0.1128,beurteilen,0.0315,lernbereichen auerschulisches,0.049,entwickeln,0.039
10,digitaler,0.0543,differenzierung,0.1662,nutzung,0.0931,ben,0.0722,selbstgesteuertes,0.0611,arbeitsformen,0.1091,reflektieren,0.03,lernbereichen,0.049,kooperative,0.0384
11,knnen,0.0524,frdert,0.1607,kommunikations,0.0931,einstellungen,0.0712,kritisch,0.0591,angemessen,0.1055,dabei,0.0297,erfllung bergreifender,0.049,knnen,0.0382
12,rahmen,0.0466,lern,0.1607,untersttzen,0.085,zusammen,0.068,erkenntnisgewinnung,0.0582,sowohl,0.1023,rahmen,0.0287,erreichen vertiefung,0.049,fhigkeiten,0.0377
13,bercksichtigen,0.0455,schlern,0.1524,lernprozesse,0.085,konflikten,0.0662,kontexten,0.0533,individuelle,0.1017,kompetenzen,0.0285,kumulativen kompetenzentwicklung,0.049,wenden,0.0368
14,gewinnen,0.0455,vertiefung,0.1474,persnlichen,0.0841,fhigkeiten,0.0639,kommunikation,0.053,einsatz,0.0954,knnen,0.0283,vertiefung jeweils,0.049,lernformen,0.0368
15,dabei,0.045,angebote,0.1379,verbunden,0.0841,produktiv,0.0638,digitalen,0.0505,deren,0.0887,ber,0.0282,fachlichen ziele,0.049,eigenen,0.0355
16,vermittelt,0.0449,kompetenzen,0.1321,organisieren,0.0841,grundlage,0.0635,interpretieren,0.0499,arbeitsweisen,0.0734,mglichkeiten,0.0275,interdisziplinre,0.049,individuell,0.0348
17,eigenstndig,0.0443,arbeiten,0.1241,mglichst,0.0822,ideen,0.0628,bildung,0.0486,individuellen,0.0488,inhalte,0.0268,fchern lernbereichen,0.049,einschtzen,0.0335
18,lernens,0.0441,kommunikation,0.1056,besondere bedeutung,0.079,handlungskompetenz,0.0619,erweitern,0.0479,teilnahme,0.0445,beispiel,0.0266,kooperationen fchern,0.049,entwicklung,0.0335
19,informationen,0.0421,konflikt,0.0501,dabei ebenso,0.079,nehmen,0.0619,mglichkeiten,0.0456,durchfhren,0.0405,fach,0.0263,verknpfung schritten,0.049,kompetenzen,0.0335
