subject,-1_gesellschaft_bildung_religionen_geschichte,0_leben_menschen_kulturelle_welt,1_politische_antike_republik_wirtschaft,2_islam_religion_religion kultur_zusammenleben,3_familie_judentums_lassen_vielzahl,4_religionsunterricht_englisch_musik_deutsch,5_stunden_themengebiete_auseinander inhalte_lernbereichen,6_schlern_leistungsbewertung_schriftliche_erworben,7_zielen_verbinden_werten_interkulturellen bildung,8_prgung_wahr_kommunikation_nehmen,9_alten_nutzen_gypten_nutzen kenntnisse,entropy,subject_total,subject_proportion
Bio,0.2475,0.4314,0.1371,0.0334,0.0435,0.0201,0.0268,0.0134,0.0268,0.0134,0.0067,2.3831,299,0.1534
"Ethik, Philo",0.1923,0.5836,0.0602,0.0753,0.0201,0.0167,0.0134,0.0184,0.0033,0.0117,0.005,1.9778,598,0.3068
Geschichte,0.2524,0.2642,0.3523,0.0665,0.0059,0.0274,0.002,0.0059,0.0078,0.0059,0.0098,2.2095,511,0.2622
"Psychologie, Gesundheit",0.1351,0.5676,0.1351,0.0,0.0811,0.0,0.0,0.027,0.0,0.0,0.0541,1.9064,37,0.019
Sozialkunde,0.2302,0.2361,0.4087,0.0218,0.0298,0.0218,0.0159,0.006,0.0139,0.0099,0.006,2.2334,504,0.2586
TOTAL,0.2252,0.3864,0.2401,0.0513,0.0236,0.021,0.0128,0.0113,0.0108,0.0097,0.0077,2.3165,1949,1.0
