topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_arten_bildung_individuen_sek,0.7898,0.0382,0.0382,0.051,0.0828,1.1453,157,0.2127
0_variabilitt_evolution_selektion_evolutionstheorie,0.9936,0.0,0.0,0.0064,0.0,0.0559,156,0.2114
1_fortpflanzung_insekten_vielfalt_merkmale,0.9769,0.0077,0.0,0.0,0.0154,0.1796,130,0.1762
2_fotosynthese_zusammenhang_stoffwechsel_licht,1.0,0.0,0.0,0.0,0.0,0.0,69,0.0935
3_gesellschaft_sachkompetenz_charakterisieren_sozialen,0.0,0.0556,0.5556,0.0,0.3889,1.2327,54,0.0732
4_umwelt_bau funktion_bau_umwelt angepasst,0.9412,0.0588,0.0,0.0,0.0,0.3228,51,0.0691
5_pflanzen_sonne_jahreszeiten_lebensrume,1.0,0.0,0.0,0.0,0.0,0.0,39,0.0528
6_schule_schlern_gehen_kompetenzen,0.6667,0.0606,0.1515,0.0,0.1212,1.4166,33,0.0447
7_oberstufe_notwendige_macht_inhaltliche,0.1667,0.2222,0.1667,0.0556,0.3889,2.1054,18,0.0244
8_umweltfaktoren_kologische_abiotische_licht,1.0,0.0,0.0,0.0,0.0,0.0,16,0.0217
9_sinnesorgane_basiskonzept_auges_haut,1.0,0.0,0.0,0.0,0.0,0.0,15,0.0203
TOTAL,0.8374,0.0257,0.0596,0.0136,0.0637,0.93,738,1.0
