subject,-1_arten_bildung_individuen_sek,0_variabilitt_evolution_selektion_evolutionstheorie,1_fortpflanzung_insekten_vielfalt_merkmale,2_fotosynthese_zusammenhang_stoffwechsel_licht,3_gesellschaft_sachkompetenz_charakterisieren_sozialen,4_umwelt_bau funktion_bau_umwelt angepasst,5_pflanzen_sonne_jahreszeiten_lebensrume,6_schule_schlern_gehen_kompetenzen,7_oberstufe_notwendige_macht_inhaltliche,8_umweltfaktoren_kologische_abiotische_licht,9_sinnesorgane_basiskonzept_auges_haut,entropy,subject_total,subject_proportion
Bio,0.2006,0.2508,0.2055,0.1117,0.0,0.0777,0.0631,0.0356,0.0049,0.0259,0.0243,2.8008,618,0.8374
"Ethik, Philo",0.3158,0.0,0.0526,0.0,0.1579,0.1579,0.0,0.1053,0.2105,0.0,0.0,2.4048,19,0.0257
Geschichte,0.1364,0.0,0.0,0.0,0.6818,0.0,0.0,0.1136,0.0682,0.0,0.0,1.3894,44,0.0596
Psychologie,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9219,10,0.0136
Sozialkunde,0.2766,0.0,0.0426,0.0,0.4468,0.0,0.0,0.0851,0.1489,0.0,0.0,1.9377,47,0.0637
TOTAL,0.2127,0.2114,0.1762,0.0935,0.0732,0.0691,0.0528,0.0447,0.0244,0.0217,0.0203,3.0417,738,1.0
