term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
entwicklung,210,0.0001,0.0125,0.0001,0.0024,0.0002,0.0169,0.0001,0.0231,0.0111,0.0131,0.0025,0.0173
lebensraum,187,0.0028,0.0068,0.0001,0.0001,0.0001,0.0,0.0001,0.011,0.0001,0.0422,0.0083,0.0
organismus,187,0.0036,0.0043,0.0079,0.0001,0.0001,0.0184,0.0001,0.032,0.0001,0.0,0.0001,0.0217
funktion,187,0.0001,0.0297,0.0002,0.0001,0.0005,0.0521,0.01,0.0006,0.0001,0.0073,0.0027,0.0
variabilität,181,0.0001,0.0001,0.037,0.0001,0.0001,0.0142,0.0094,0.0163,0.0001,0.0,0.0001,0.0413
tier,164,0.0035,0.0003,0.0001,0.0001,0.0244,0.0,0.0034,0.0002,0.0001,0.0438,0.0001,0.0
basiskonzept,162,0.0001,0.0527,0.014,0.0001,0.0141,0.007,0.0069,0.0015,0.0061,0.0,0.0001,0.0174
pflanze,160,0.0111,0.0016,0.0001,0.0001,0.0233,0.0107,0.0001,0.0067,0.0001,0.026,0.0001,0.0
lebewesen,154,0.004,0.0167,0.0184,0.0001,0.0001,0.0169,0.0001,0.01,0.0086,0.008,0.0001,0.0048
mensch,150,0.0001,0.0084,0.0001,0.0001,0.0001,0.0031,0.0256,0.0167,0.0016,0.0136,0.0001,0.0079
struktur,148,0.0001,0.0461,0.0118,0.0001,0.0003,0.0319,0.0002,0.0009,0.0001,0.0,0.0048,0.0
art,147,0.0001,0.0012,0.0001,0.0001,0.0075,0.0012,0.0001,0.0145,0.0264,0.0057,0.0045,0.0207
zusammenhang,145,0.0056,0.0013,0.0001,0.0001,0.0001,0.0379,0.0325,0.005,0.0018,0.0003,0.0001,0.0067
umwelt,130,0.0032,0.0022,0.0105,0.0001,0.0001,0.0212,0.0001,0.0184,0.0001,0.0017,0.0001,0.0051
verschieden,123,0.0059,0.0133,0.0001,0.0001,0.0175,0.013,0.0048,0.0029,0.0063,0.005,0.0221,0.0001
