term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
anforderungsbereich,55,0.081,0.0706,0.032,0.03,0.0019,0.0008,0.0006,0.002,0.0022,0.0004,0.0013,0.0049,0.0003,0.0006,0.0004
sachverhalte,41,0.0003,0.0239,0.0653,0.0253,0.0019,0.0008,0.0004,0.0021,0.0022,0.0004,0.0087,0.0005,0.023,0.0006,0.0004
operator,39,0.0544,0.0473,0.019,0.0066,0.0019,0.0008,0.0004,0.0021,0.0023,0.0004,0.0012,0.0005,0.0003,0.0006,0.0004
zusammenhang,38,0.0005,0.0018,0.0477,0.0067,0.0019,0.0073,0.0004,0.002,0.0022,0.0213,0.001,0.0616,0.0003,0.0006,0.0004
sachverhalt,31,0.0052,0.0005,0.0553,0.0354,0.0019,0.0008,0.0004,0.002,0.0022,0.0004,0.0092,0.0005,0.0003,0.0006,0.0004
afb,30,0.0681,0.0005,0.0001,0.0068,0.0019,0.0008,0.0005,0.002,0.0022,0.0004,0.001,0.0005,0.0002,0.0006,0.0004
reorganisation,29,0.0466,0.0239,0.0212,0.0174,0.0019,0.0008,0.0004,0.0022,0.0022,0.0004,0.0011,0.0005,0.0002,0.0006,0.0004
umfasst,29,0.0004,0.0473,0.0001,0.0434,0.002,0.0008,0.0092,0.002,0.0023,0.0004,0.0012,0.0008,0.0002,0.0006,0.0004
inhalt,26,0.0004,0.0161,0.0001,0.0477,0.0019,0.0775,0.0005,0.0021,0.0022,0.0004,0.001,0.0005,0.0002,0.0025,0.0005
methode,26,0.0004,0.0093,0.0001,0.0665,0.0019,0.0008,0.0004,0.0022,0.0022,0.0005,0.001,0.022,0.0002,0.0006,0.0004
kontext,23,0.0076,0.0005,0.0001,0.0004,0.0019,0.0008,0.0005,0.0022,0.0022,0.0004,0.033,0.0005,0.0477,0.0006,0.0004
lernen,23,0.0004,0.0005,0.0001,0.0006,0.0018,0.0346,0.0331,0.0023,0.0022,0.0318,0.001,0.0006,0.0002,0.0006,0.0004
anwendung,22,0.0004,0.0112,0.0002,0.0004,0.0019,0.0009,0.0442,0.0021,0.0022,0.0005,0.0092,0.0229,0.0014,0.0006,0.0004
fachmethode,19,0.0003,0.0006,0.0001,0.0004,0.0019,0.0008,0.0005,0.0021,0.0021,0.0004,0.001,0.0005,0.0476,0.0006,0.0004
material,19,0.0154,0.0005,0.0482,0.0004,0.002,0.0008,0.0004,0.0021,0.0022,0.0004,0.001,0.0006,0.0003,0.0006,0.0004
modell,19,0.0003,0.0116,0.0002,0.0004,0.0021,0.0008,0.0572,0.0021,0.0022,0.0004,0.0016,0.0005,0.0003,0.0006,0.0004
reflexion,19,0.0375,0.0178,0.0001,0.0032,0.0019,0.0008,0.0116,0.002,0.0029,0.0004,0.001,0.0006,0.0002,0.005,0.0004
selbstständig,19,0.0004,0.0433,0.0001,0.019,0.0023,0.0008,0.0004,0.0021,0.0021,0.0004,0.0011,0.0081,0.0002,0.0006,0.0004
datum,18,0.0004,0.0005,0.0174,0.0005,0.0019,0.0008,0.0004,0.0021,0.0022,0.0005,0.001,0.0522,0.0003,0.0006,0.0004
kritisch,18,0.0003,0.0005,0.0001,0.0004,0.002,0.0008,0.0092,0.0021,0.0023,0.0005,0.001,0.0005,0.023,0.0042,0.0349
ler,18,0.0003,0.0005,0.0145,0.0004,0.0022,0.0008,0.0033,0.0021,0.0023,0.0004,0.001,0.0005,0.023,0.0006,0.0004
verwend,18,0.0003,0.0005,0.0001,0.0004,0.0019,0.0008,0.0004,0.0021,0.0022,0.0005,0.001,0.0005,0.0458,0.0006,0.0004
wissen,18,0.0003,0.0005,0.0001,0.0128,0.002,0.0267,0.0356,0.0021,0.0023,0.0004,0.0086,0.0005,0.0002,0.0006,0.0004
fragestellung,17,0.0052,0.0005,0.0001,0.0154,0.002,0.0008,0.0004,0.002,0.0022,0.0004,0.0238,0.0087,0.0002,0.0006,0.0344
vergleichbar,17,0.0004,0.0239,0.0001,0.0004,0.0019,0.0008,0.0004,0.0021,0.0022,0.0005,0.0011,0.0081,0.023,0.0006,0.0004
ziel,17,0.0003,0.0011,0.0001,0.0005,0.0019,0.0008,0.0731,0.0684,0.0022,0.0004,0.0333,0.0005,0.0003,0.0006,0.0004
biologisch,16,0.0004,0.0005,0.0002,0.0004,0.0019,0.0008,0.0008,0.0022,0.0022,0.0005,0.075,0.0229,0.0005,0.0006,0.0004
iii,16,0.0318,0.0005,0.0001,0.0198,0.0019,0.0008,0.0005,0.0021,0.0022,0.0005,0.001,0.0005,0.0003,0.0006,0.0004
reproduktion,16,0.0529,0.0005,0.0001,0.0029,0.0019,0.0008,0.0006,0.0022,0.0023,0.0004,0.001,0.0005,0.0002,0.0006,0.0004
umgang,16,0.0003,0.0005,0.0001,0.0128,0.0019,0.0008,0.0006,0.002,0.0022,0.0004,0.0413,0.0005,0.0232,0.0039,0.0004
anwenden,15,0.0005,0.0005,0.0001,0.0097,0.0019,0.0008,0.0004,0.0021,0.0022,0.0004,0.001,0.0005,0.0285,0.0006,0.0004
arbeitstechnik,15,0.0003,0.0005,0.0001,0.019,0.0019,0.0008,0.0004,0.0021,0.0022,0.0005,0.001,0.0005,0.023,0.0006,0.0004
beschreibung,15,0.0053,0.0239,0.0105,0.0004,0.0019,0.0186,0.0004,0.0021,0.0022,0.0004,0.0011,0.0005,0.0003,0.0006,0.0004
darstellung,15,0.0053,0.0005,0.0115,0.0004,0.0019,0.0014,0.0006,0.0021,0.0022,0.0005,0.001,0.0302,0.0003,0.0006,0.0004
information,15,0.0233,0.0005,0.0115,0.0005,0.0019,0.0008,0.0004,0.0021,0.0021,0.0108,0.0014,0.0005,0.0003,0.0174,0.0004
kommunikation,15,0.0003,0.0005,0.0001,0.0004,0.002,0.0008,0.0092,0.002,0.0022,0.0004,0.001,0.0311,0.0002,0.018,0.0004
politisch,15,0.0003,0.0005,0.0212,0.0004,0.0018,0.0008,0.013,0.0685,0.0021,0.0212,0.0653,0.0005,0.0083,0.0378,0.0004
