,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,verhalten,0.0276,kulturelle,0.064,evolutionstheorie,0.041,entstehung,0.0408,primaten,0.0718,beitrages,0.0734,artenvielfalt,0.0798,systeme,0.1094,vielfalt lebewesen,0.0915,mensch,0.2261,informationsverarbeitung,0.1158
1,organismen,0.0269,kulturelle evolution,0.0568,fossilien,0.0381,genetik,0.0398,fitness,0.0628,leisten beitrages,0.0734,bezge,0.0699,individualentwicklung,0.0798,lebensrume,0.0709,welt,0.2192,neurobiologie,0.0771
2,verwandtschaft,0.0263,evolution menschen,0.0495,verwandtschaft,0.0328,biologie,0.0397,sozialverhalten,0.055,beitrages entwicklung,0.0734,angepasstheit,0.0651,prozess,0.0787,entwicklung lebewesen,0.0673,freiheit,0.1837,vorgnge,0.0746
3,evolutionre,0.0252,biologische,0.0491,belege,0.0327,erklren,0.0372,fortpflanzungsverhalten,0.053,leisten,0.0708,globales,0.0645,kosystemen,0.0684,vorgnge,0.0648,gesellschaft,0.1792,evolution informationsverarbeitung,0.0728
4,stammesgeschichte,0.0248,biologische evolution,0.0402,organismen,0.0325,molekulare,0.0324,reproduktive,0.0529,entwickeln,0.0667,kompetenzen,0.0639,vernderungen,0.0674,deren,0.0645,produkt,0.1686,sexualitt,0.0699
5,erklren,0.0247,kulturellen,0.033,isolation,0.0324,lebens,0.0314,reproduktive fitness,0.0516,naturwissenschaftlich,0.0547,fachbergreifende,0.0633,sprunghaft,0.0668,vernderung,0.0629,weltbild,0.1572,genetik,0.069
6,beispiel,0.024,kontext,0.0328,mutation,0.0312,code,0.0284,ursprung,0.0515,phnomene,0.0525,fachbergreifende bezge,0.0633,voraussetzung,0.0638,insbesondere,0.0555,interpretieren,0.1473,schwerpunkte,0.0622
7,struktur,0.023,kulturellen evolution,0.029,belege evolution,0.0292,kologie,0.0281,exogene,0.0494,medien,0.0466,merkmale,0.0625,entwicklung lebewesen,0.0628,genetische,0.0543,argumentieren,0.1311,nervensystems,0.0613
8,system,0.0224,modernen menschen,0.0271,erlutern,0.0287,genetischen,0.0276,stammbume,0.0482,biologisch,0.0442,anpassung,0.0581,stammesgeschichtliche entwicklung,0.0546,somit,0.0531,analysieren,0.127,verfahren,0.0561
9,merkmale,0.0217,modernen,0.0267,selektion,0.0286,stoff,0.0268,ursachen,0.0482,fhigkeit,0.0441,stammesgeschichte menschen,0.0581,neue,0.0532,menschwerdung,0.0527,toleranz,0.1255,kompetenzerwartungen,0.0559
10,abstammung,0.0204,themenfeld,0.0257,erklren,0.0256,fotosynthese,0.0263,werkzeuggebrauch,0.046,naturwissenschaftlichen,0.0436,evolution lebens,0.0574,evolution lebewesen,0.0532,selektion isolation,0.0513,probleme,0.1164,immunbiologie,0.0524
11,stammbume,0.02,mensch,0.0223,entstehung,0.0251,einfhrungsphase,0.0262,sprachentwicklung,0.0442,biologische,0.0417,evolutionstheorie,0.0574,systemeigenschaften,0.0506,mutation,0.0505,aspekte,0.1105,kologie,0.052
12,evolution menschen,0.0197,darstellen,0.0217,evolutionsfaktoren,0.0232,evolutive,0.0262,werkzeuggebrauch sprachentwicklung,0.043,biologische phnomene,0.0406,inhalte,0.0562,lebendigen,0.0492,mutation selektion,0.0496,reflektieren,0.1087,wissen ber,0.0516
13,entstehung,0.0192,beispiel,0.0213,darwin,0.0228,eukaryotischen,0.0252,verhalten,0.0421,biologischer,0.0394,dabei,0.0556,verndern,0.045,mensch,0.0485,schuljahrgnge,0.1011,bau,0.0497
14,lernenden,0.0192,inhalte,0.0202,rekombination,0.022,eukaryotischen zelle,0.0252,verbreitung,0.0405,erkennen,0.0385,gruppen,0.0545,kennzeichen,0.0437,selektion,0.0435,produkt evolution,0.1011,anatomie,0.0492
15,funktion,0.0182,biologischen,0.0198,synthetische,0.0213,evolutive entwicklung,0.0245,verbreitung heutigen,0.0397,mechanismen,0.038,lebens,0.054,stammesgeschichtliche,0.0429,vielfalt vernderung,0.0424,aufgaben,0.0989,whrend,0.0474
16,zusammenhang,0.0177,tabelle,0.0196,synthetische evolutionstheorie,0.0212,molekulare genetik,0.0242,ursprung fossilgeschichte,0.0397,informationen,0.0366,synthetische evolutionstheorie,0.054,anatomie,0.0427,erkennen,0.0404,mensch teil,0.0989,nervenzellen,0.0474
17,struktur funktion,0.0176,verbindliche,0.0193,biodiversitt,0.0194,individuelle evolutive,0.0233,fossilgeschichte,0.0397,sachverhalte,0.0365,art,0.0529,formen scheinbar,0.0426,anhand,0.0402,evolution kologie,0.0918,bereit,0.0474
18,erklrungen,0.0175,biologie,0.019,lebens,0.0189,erlutern,0.0233,kostennutzenanalyse,0.0395,kommunizieren,0.0348,lernen,0.0529,scheinbar bergangslos,0.0426,isolation,0.0402,beurteilen,0.0913,bezieht,0.0474
19,vorstellungen,0.0173,leben,0.019,stammbume,0.0186,chemische,0.0232,stammbume verbreitung,0.0389,biologie,0.0339,synthetische,0.0523,knnen vernderungen,0.0426,evolutionre,0.0397,teil,0.0803,kompetenzen,0.0461
