subject,-1_verhalten_organismen_verwandtschaft_evolutionre,0_kulturelle_kulturelle evolution_evolution menschen_biologische,1_evolutionstheorie_fossilien_verwandtschaft_belege,2_entstehung_genetik_biologie_erklren,3_primaten_fitness_sozialverhalten_fortpflanzungsverhalten,4_beitrages_leisten beitrages_beitrages entwicklung_leisten,5_artenvielfalt_bezge_angepasstheit_globales,6_systeme_individualentwicklung_prozess_kosystemen,7_vielfalt lebewesen_lebensrume_entwicklung lebewesen_vorgnge,8_mensch_welt_freiheit_gesellschaft,9_informationsverarbeitung_neurobiologie_vorgnge_evolution informationsverarbeitung,entropy,subject_total,subject_proportion
Bio,0.2318,0.2384,0.1974,0.1444,0.0503,0.0397,0.0305,0.0278,0.0212,0.0,0.0185,2.7708,755,0.9333
"Ethik, Philo",0.0333,0.1667,0.0,0.0,0.0,0.0667,0.0333,0.0,0.0667,0.6,0.0333,1.8846,30,0.0371
Geschichte,0.8462,0.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6194,13,0.0161
"Psychologie, Gesundheit",0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1.5,4,0.0049
Sozialkunde,0.1429,0.2857,0.0,0.0,0.0,0.1429,0.1429,0.0,0.1429,0.0,0.1429,2.5216,7,0.0087
TOTAL,0.2349,0.2336,0.1842,0.1347,0.0482,0.0408,0.0309,0.026,0.0235,0.0222,0.021,2.8774,809,1.0
