Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
bildung,leben,politisch,kulturell,historisch,mensch,religion
lernen,sozial,europäisch,mittelalter,verschieden,natur,leben
wissenschaft,bildung,europa,antik,unterschiedlich,leben,kompetenz
bezug,beitrag,gesellschaft,römisch,gesellschaft,geschichte,sozial
deutsch,demokratisch,revolution,islam,erkennen,welt,welt
sport,mitin,republik,interkulturell,entwicklung,perspektive,handeln
religionsunterricht,wert,herrschaft,antike,beurteilen,kulturell,zusammenleben
englisch,globalisierung,deutschland,kompetenz,bedeutung,gesellschaft,kulturell
musik,beziehung,dimension,gesellschaftlich,geschichte,technik,ethik
kompetenz,kontext,demokratie,bildung,mensch,umwelt,unterschiedlich
griechisch,menschenrecht,weimarer,vielfalt,gegenwart,begriff,frage
jugend,ziel,entwicklung,europäisch,politik,spiel,verschieden
fach,arbeit,wirtschaft,lernbereich,entwickeln,thema,mensch
thema,inklusion,aspekt,welt,darstellung,gesellschaftlich,gemeinschaft
inhalt,vielfalt,auswirkung,mittelmeerraum,zusammenhang,bereich,weltanschauung
latein,demokratie,wirtschaftlich,reich,vergangenheit,sprache,ethisch
fächerübergreifend,setzen,grundlage,demokratie,erklären,verhältnis,möglichkeit
erwerb,methode,deutsch,lernende,rolle,vielfalt,religiös
kunst,fortschritt,system,nehmen,fach,frage,auseinandersetzung
ziel,diversität,konflikt,beschreiben,beispiel,menschlich,reflektieren
