topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,6,0.235,302,78.3456
2,2,0.2012,285,42.1116
3,9,0.0988,96,55.0687
4,8,0.096,102,77.6912
5,3,0.0781,74,62.4822
6,5,0.0665,71,26.0152
7,4,0.0645,65,89.9021
8,1,0.0612,47,93.3091
9,7,0.0568,50,37.8016
10,10,0.0419,42,46.4883
