term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
genetik,12,0.0003,0.0115,0.0005,0.0002,0.004,0.0006,0.0004,0.0005,0.0026,0.0002,0.0009,0.0333
nervensystem,12,0.0003,0.0004,0.0005,0.0003,0.0039,0.0021,0.006,0.0005,0.0025,0.0002,0.0008,0.0367
synapse,12,0.0007,0.0282,0.0005,0.0002,0.0039,0.0006,0.0041,0.0005,0.0026,0.0002,0.0009,0.0007
teilche,12,0.0003,0.0115,0.0005,0.0002,0.0039,0.0006,0.0004,0.0004,0.0185,0.009,0.0009,0.0007
wiedergabe,12,0.0003,0.0171,0.0006,0.0002,0.0039,0.0617,0.0003,0.0005,0.0026,0.0002,0.0009,0.0007
zuvor,12,0.0003,0.0338,0.0005,0.0002,0.0038,0.0006,0.0003,0.0005,0.0026,0.0002,0.0009,0.0007
basiskonzept,11,0.0168,0.0022,0.0005,0.0002,0.0039,0.0006,0.0012,0.0019,0.0026,0.0002,0.0008,0.0007
chemisch,11,0.0003,0.0059,0.0005,0.0003,0.0038,0.0006,0.0004,0.0005,0.0504,0.0002,0.0008,0.0248
erfahrung,11,0.0005,0.0004,0.0005,0.0002,0.0039,0.0045,0.0004,0.0005,0.0027,0.0166,0.0008,0.0007
fachbezogen,11,0.0003,0.0171,0.0005,0.0002,0.0039,0.0006,0.0003,0.0333,0.0026,0.0002,0.0009,0.0007
historisch,11,0.0003,0.0005,0.0005,0.0011,0.0039,0.0006,0.0003,0.0005,0.0025,0.0002,0.0952,0.0091
nutzen,11,0.0003,0.0005,0.0005,0.0002,0.0039,0.0006,0.0178,0.0362,0.0026,0.0002,0.0008,0.0007
sach,11,0.0003,0.0005,0.0005,0.0002,0.0039,0.0006,0.0004,0.0005,0.0027,0.0209,0.0008,0.0181
struktur,11,0.0003,0.0009,0.0006,0.026,0.0039,0.0006,0.0026,0.0005,0.0026,0.0002,0.0237,0.0007
synaptisch,11,0.0032,0.0004,0.0005,0.0002,0.0039,0.0083,0.0003,0.0005,0.0026,0.0094,0.0009,0.0007
arbeiten,10,0.0003,0.0008,0.0005,0.0002,0.0039,0.0006,0.0422,0.0004,0.0025,0.0002,0.0009,0.0007
aufgabe,10,0.0214,0.0005,0.0006,0.0002,0.004,0.0006,0.0028,0.0005,0.0025,0.0002,0.0008,0.0007
bezogen,10,0.0076,0.0005,0.0005,0.0002,0.0039,0.0006,0.0003,0.0357,0.0026,0.0002,0.0008,0.0007
gebrauch,10,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0003,0.0005,0.003,0.0156,0.0008,0.0047
gestalten,10,0.0003,0.0004,0.0555,0.0002,0.004,0.0006,0.0005,0.0005,0.0026,0.0002,0.0008,0.0006
handlung,10,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0094,0.0005,0.0027,0.0156,0.0008,0.0007
kriterium,10,0.0004,0.0005,0.0883,0.0002,0.004,0.0006,0.0004,0.0004,0.0026,0.0002,0.001,0.0007
region,10,0.0003,0.0004,0.0005,0.0002,0.004,0.0006,0.0003,0.0004,0.0025,0.0292,0.0008,0.0007
setzen,10,0.0003,0.0004,0.0005,0.0002,0.004,0.0006,0.0178,0.0333,0.0026,0.0003,0.0008,0.0007
situation,10,0.0004,0.0005,0.0248,0.0003,0.0039,0.0006,0.0196,0.0005,0.0025,0.0002,0.0008,0.0006
verwendung,10,0.0003,0.0004,0.0006,0.0314,0.0039,0.0006,0.0003,0.0005,0.0025,0.0002,0.001,0.0007
zusammenfassen,10,0.0003,0.0171,0.0006,0.0002,0.004,0.0414,0.0003,0.0004,0.0026,0.0002,0.0009,0.0007
analyse,9,0.0005,0.0005,0.0069,0.0002,0.0039,0.0006,0.0004,0.0004,0.0028,0.0002,0.0441,0.0087
annehmen,9,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0004,0.0005,0.0028,0.0156,0.0009,0.0006
begriff,9,0.0003,0.0005,0.0281,0.0002,0.0039,0.0006,0.0003,0.0014,0.0025,0.0002,0.0373,0.0006
berücksichtigen,9,0.0146,0.0005,0.0005,0.0002,0.0039,0.0006,0.0003,0.0004,0.0028,0.0002,0.0009,0.0174
bewertung,9,0.0055,0.0004,0.0005,0.0002,0.0039,0.0006,0.0004,0.0005,0.0028,0.0002,0.0009,0.025
einordnen,9,0.0003,0.0171,0.0006,0.0103,0.0039,0.0171,0.0003,0.0005,0.0025,0.0002,0.0009,0.0007
entsprechend,9,0.0036,0.0004,0.0248,0.0002,0.0039,0.0006,0.0094,0.0005,0.0025,0.0002,0.0008,0.009
erschließen,9,0.0071,0.0004,0.0009,0.0255,0.004,0.0006,0.0004,0.0005,0.0025,0.0002,0.0008,0.0007
geeignet,9,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0003,0.0444,0.0026,0.0002,0.0008,0.0008
herausforderung,9,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0094,0.0333,0.0026,0.0122,0.0008,0.0007
kulturell,9,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0115,0.0005,0.0025,0.017,0.0008,0.001
römer,9,0.0003,0.0005,0.0005,0.0002,0.0039,0.0006,0.0227,0.0005,0.0026,0.0147,0.0008,0.0007
schriftlich,9,0.0274,0.0004,0.0005,0.0002,0.0039,0.0007,0.0003,0.0005,0.0025,0.0002,0.0009,0.0006
sozial,9,0.0003,0.0004,0.0006,0.0053,0.0042,0.0006,0.0009,0.0005,0.0025,0.0188,0.0008,0.0249
unterschiedlich,9,0.0015,0.0004,0.0148,0.0154,0.0039,0.0006,0.0116,0.0005,0.0026,0.0002,0.0008,0.0234
vergleich,9,0.0026,0.0006,0.0006,0.0002,0.0038,0.0006,0.0004,0.0005,0.0025,0.0019,0.0334,0.0007
verschieden,9,0.0178,0.0005,0.0006,0.0002,0.0038,0.0006,0.0004,0.001,0.0026,0.0068,0.0008,0.0007
vertiefung,9,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0291,0.0004,0.0025,0.0002,0.0008,0.0088
