topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,6,0.2161,854,100.0999
2,1,0.1694,606,117.9211
3,7,0.1409,460,179.8057
4,10,0.0905,227,161.203
5,5,0.0897,204,119.9168
6,4,0.0771,210,93.7148
7,9,0.0686,152,118.5344
8,3,0.0574,136,150.031
9,8,0.0475,88,204.9257
10,2,0.0429,95,214.5131
