topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,19,0.1523,118,56.8068
2,2,0.1158,77,67.7327
3,5,0.1047,68,98.9752
4,6,0.0879,60,31.9252
5,16,0.08,61,38.0749
6,14,0.0743,49,48.817
7,10,0.0567,32,37.5696
8,1,0.0477,25,55.5342
9,13,0.0409,27,39.3965
10,4,0.0364,18,131.7349
11,11,0.036,25,86.0919
12,18,0.0286,22,50.7651
13,15,0.0274,20,40.2919
14,12,0.0273,18,37.3393
15,9,0.0226,16,83.8712
16,20,0.0201,11,68.2533
17,17,0.0183,6,95.1715
18,7,0.0135,6,47.9611
19,3,0.0072,2,86.5499
20,8,0.0023,0,1.0134
